,T,S4,S3/T
0,0.75,172.7372700998474,12.351733242060435
1,0.751,182.89626980682098,13.09610114170937
2,0.752,192.85555285951702,13.868621371993013
3,0.753,203.987823846678,14.669786885484944
4,0.754,215.9007312334803,15.50259526407712
5,0.755,228.32456480230965,16.368890715440532
6,0.756,240.61272875308285,17.265948638663172
7,0.757,253.54396955273384,18.197534133190974
8,0.758,267.0662985128205,19.164303150340444
9,0.759,281.38116798031484,20.16935580670819
10,0.76,296.4681914207384,21.217038915228503
11,0.761,312.4582788752381,22.300798425126107
12,0.762,329.37406690188175,23.431206490755425
13,0.763,347.3575892957194,24.60413633183676
14,0.764,365.958541819762,25.825506601764435
15,0.765,386.3611625763373,27.09471060553453
16,0.766,408.2920468096365,28.419408265214624
17,0.767,431.16704258783244,29.808807176350616
18,0.768,454.7868844952766,31.251198358409056
19,0.769,477.96151781528414,32.76523147082171
20,0.77,503.88456292117735,34.3432203705651
21,0.771,535.8146356522446,35.99000515111309
22,0.772,563.5546623493879,37.70990217860403
23,0.773,595.1633819598144,39.5120477995874
24,0.774,629.8609499328696,41.40223251721316
25,0.775,665.7890240608974,43.3998462914404
26,0.776,704.3305292022602,45.36715097379446
27,0.777,745.5229501837232,47.559734493449135
28,0.778,790.3048248389952,49.855060237661746
29,0.779,830.9977888247878,52.25525088030061
30,0.78,885.6597848830183,54.778538902331114
