bubble_id,sign,centroid_x,centroid_y,centroid_z,volume,r_eff,r_rms,peak,step,time,temperature
1,+,41.95,81.47,177.18,215789,37.2089,30.1308,1.0240e+11,540,1.35000000e+02,4929.98
2,+,51.51,201.70,198.83,70388,25.6136,19.8529,4.7201e+10,540,1.35000000e+02,4929.98
3,-,27.00,242.34,175.92,36150,20.5119,16.4871,1.2017e+09,540,1.35000000e+02,4929.98
4,+,102.36,155.91,73.70,32572,19.8116,15.3795,8.2643e+08,540,1.35000000e+02,4929.98
5,-,198.69,221.20,33.60,28085,18.8565,16.9125,1.9782e+07,540,1.35000000e+02,4929.98
6,+,131.50,76.27,246.66,26583,18.5142,15.9563,1.0412e+09,540,1.35000000e+02,4929.98
7,-,74.23,244.43,229.65,25868,18.3467,14.7768,1.1146e+09,540,1.35000000e+02,4929.98
8,+,204.84,183.85,119.56,20705,17.0345,13.3327,4.5254e+07,540,1.35000000e+02,4929.98
9,+,133.49,76.92,6.71,19995,16.8375,15.1006,9.3024e+08,540,1.35000000e+02,4929.98
10,+,58.19,39.21,23.43,19181,16.6058,13.0209,6.3640e+07,540,1.35000000e+02,4929.98
11,+,72.16,225.54,120.32,18444,16.3904,12.7403,1.1666e+08,540,1.35000000e+02,4929.98
12,-,25.46,16.70,232.72,15658,15.5197,12.0507,5.4472e+07,540,1.35000000e+02,4929.98
13,+,7.08,22.31,103.72,11390,13.9576,11.6017,3.4915e+07,540,1.35000000e+02,4929.98
14,+,96.09,26.73,110.06,11303,13.9220,11.4046,1.0565e+07,540,1.35000000e+02,4929.98
15,+,222.87,8.73,13.80,9827,13.2875,10.4691,1.8122e+07,540,1.35000000e+02,4929.98
16,-,72.97,4.91,231.15,9400,13.0922,11.7700,3.6574e+08,540,1.35000000e+02,4929.98
17,-,26.31,4.13,176.80,8965,12.8871,12.1723,2.4079e+08,540,1.35000000e+02,4929.98
18,-,113.63,185.55,247.26,8214,12.5167,9.9553,1.3517e+07,540,1.35000000e+02,4929.98
19,+,211.33,34.58,196.67,7526,12.1570,9.4249,7.7320e+06,540,1.35000000e+02,4929.98
20,+,251.28,22.73,102.29,4744,10.4236,9.4317,1.9958e+07,540,1.35000000e+02,4929.98
21,-,111.83,185.97,2.68,2406,8.3126,7.6607,5.7981e+06,540,1.35000000e+02,4929.98
22,+,223.67,253.00,13.67,1722,7.4356,7.2203,3.5708e+06,540,1.35000000e+02,4929.98
23,+,15.62,24.84,56.46,1415,6.9645,5.4707,2.4646e+05,540,1.35000000e+02,4929.98
24,-,254.53,62.55,170.39,463,4.7991,6.1180,5.2255e+05,540,1.35000000e+02,4929.98
25,-,50.64,200.17,5.14,417,4.6346,3.5963,1.3671e+05,540,1.35000000e+02,4929.98
26,+,1.62,130.18,167.44,255,3.9338,3.3049,1.0669e+05,540,1.35000000e+02,4929.98
27,+,61.22,244.32,111.50,150,3.2961,2.5715,7.8087e+04,540,1.35000000e+02,4929.98
28,+,254.59,130.38,167.74,80,2.6730,2.6306,9.2377e+04,540,1.35000000e+02,4929.98
29,+,254.12,26.77,158.43,40,2.1216,1.6965,5.9185e+04,540,1.35000000e+02,4929.98
30,+,0.00,26.20,157.40,5,1.0608,0.8944,5.4151e+04,540,1.35000000e+02,4929.98
31,+,0.00,25.00,159.00,1,0.6204,0.0000,5.0219e+04,540,1.35000000e+02,4929.98
