loop_id,winding_sign,n_voxels,centroid_x,centroid_y,centroid_z,max_winding,step,time,temperature
1,-,64,27.00,409.00,31.50,1.0000,3300,8.25000000e+02,6769.87
25,+,64,469.00,457.00,31.50,1.0000,3300,8.25000000e+02,6769.87
28,+,64,504.00,198.00,31.50,1.0000,3300,8.25000000e+02,6769.87
26,-,60,473.08,208.00,29.42,1.0000,3300,8.25000000e+02,6769.87
23,-,43,388.26,357.00,42.74,1.0000,3300,8.25000000e+02,6769.87
24,-,21,389.00,357.00,10.00,1.0000,3300,8.25000000e+02,6769.87
2,+,11,275.91,345.00,50.09,2.0000,3300,8.25000000e+02,6769.87
18,+,10,294.00,339.00,4.50,2.0000,3300,8.25000000e+02,6769.87
21,+,10,297.70,338.00,10.80,1.0000,3300,8.25000000e+02,6769.87
15,+,6,289.50,340.00,1.00,2.0000,3300,8.25000000e+02,6769.87
4,+,5,278.20,344.00,55.80,2.0000,3300,8.25000000e+02,6769.87
7,+,5,280.20,343.00,58.80,2.0000,3300,8.25000000e+02,6769.87
10,+,5,283.00,342.00,61.00,2.0000,3300,8.25000000e+02,6769.87
3,+,4,276.00,345.00,42.50,1.0000,3300,8.25000000e+02,6769.87
12,+,4,285.75,341.00,62.75,1.0000,3300,8.25000000e+02,6769.87
27,-,4,473.00,208.00,61.50,1.0000,3300,8.25000000e+02,6769.87
6,+,2,278.00,344.50,37.00,1.0000,3300,8.25000000e+02,6769.87
11,-,2,283.00,342.50,31.00,2.0000,3300,8.25000000e+02,6769.87
16,-,2,289.00,340.50,26.00,2.0000,3300,8.25000000e+02,6769.87
19,-,2,293.00,339.50,23.00,2.0000,3300,8.25000000e+02,6769.87
22,+,2,297.00,338.50,17.00,1.0000,3300,8.25000000e+02,6769.87
5,+,1,277.00,345.00,39.00,1.0000,3300,8.25000000e+02,6769.87
8,+,1,279.00,344.00,35.00,1.0000,3300,8.25000000e+02,6769.87
9,-,1,280.00,344.00,33.00,1.0000,3300,8.25000000e+02,6769.87
13,-,1,286.00,342.00,28.00,2.0000,3300,8.25000000e+02,6769.87
14,+,1,287.00,341.00,0.00,2.0000,3300,8.25000000e+02,6769.87
17,-,1,290.00,340.00,25.00,1.0000,3300,8.25000000e+02,6769.87
20,+,1,296.00,339.00,19.00,1.0000,3300,8.25000000e+02,6769.87
