,T,S4,S3/T
0,20700.0,9981.899523796883,67.19335310359837
1,20955.555555555555,14129.833136578787,135.45905453759164
2,21211.11111111111,17793.9520345731,190.6763391492381
3,21466.666666666668,21430.370042237104,243.96872941655616
4,21722.222222222223,25217.908896354827,297.9429072709787
5,21977.777777777777,29255.971651386873,352.60199451573504
6,22233.333333333332,33320.25662003318,410.24334470576275
7,22488.88888888889,37677.17345068682,469.5636987893223
8,22744.444444444445,42295.943540915316,531.4964118355703
9,23000.0,47186.72643321258,595.55880539475
