,T,S4,S3/T
0,10310.0,8393.29214905311,36.849241574529884
1,10509.261744966443,15134.839251122512,146.38790070195532
2,10708.523489932886,20646.033205570442,235.04154255488857
3,10907.78523489933,25688.50122777932,315.2050514085316
4,11107.046979865772,31297.82255575783,397.8487424017102
5,11306.308724832215,37618.06322158071,486.37148279782986
6,11505.570469798658,44489.29587023939,578.811215324431
7,11704.832214765102,52008.20189373196,675.9534424021358
8,11904.093959731545,60682.84518631597,779.0774450408805
9,12103.355704697988,69149.22224920144,880.0978735846375
10,12302.617449664429,78384.92484753858,995.3335358044773
11,12501.879194630872,88381.0608567753,1117.7693086472952
12,12701.140939597315,99161.57744041548,1249.152135593205
13,12900.402684563758,110583.56512526615,1389.0361615152424
14,13099.664429530201,122912.03081526968,1536.2134110890806
15,13298.926174496644,135994.55562607653,1694.6567508454068
16,13498.187919463087,149996.42420754247,1862.0668457663517
17,13697.44966442953,164966.21896694502,2037.6615564168808
18,13896.711409395974,180933.36890042457,2204.277730299873
19,14095.973154362417,198003.2441770639,2387.8032684663613
20,14295.23489932886,216225.97302845333,2581.2636647864824
21,14494.496644295301,235481.03712868728,2782.095740987326
22,14693.758389261744,256095.97568950074,2993.3679287764894
23,14893.020134228187,277909.62149532326,3214.2917882140036
24,15092.28187919463,301239.5175074832,3444.989319097395
25,15291.543624161073,325866.82242475805,3686.675893226222
26,15490.805369127516,351963.763784761,3938.5825273558803
27,15690.06711409396,379566.7337853888,4200.028187275921
28,15889.328859060402,408627.79601572885,4474.24617881237
29,16088.590604026846,439407.39383152407,4757.954424396051
30,16287.852348993289,471470.2466969753,5053.561415741041
31,16487.11409395973,505325.28111172764,5361.503032530259
32,16686.375838926175,540910.8236811102,5681.0350470681715
33,16885.637583892618,577999.7464714168,6014.357956639694
34,17084.89932885906,626554.2764519796,6357.848769751144
35,17284.161073825504,670432.6046544535,6715.941011392714
36,17483.422818791947,716847.7749774028,7086.133107114124
37,17682.68456375839,765585.9689507203,7469.336826773765
38,17881.946308724833,816647.98652288,7870.461942724751
39,18081.208053691276,870294.9000478339,8282.382332916348
40,18280.46979865772,926341.4496557877,8710.158775536782
41,18479.731543624162,985336.4726780667,9154.239048199663
42,18678.993288590602,1046912.7854257623,9616.435434360896
43,18878.25503355705,1111854.9572999468,10094.754159825023
44,19077.516778523488,1180062.371987431,10591.861407131206
45,19276.778523489935,1251943.6906383592,11060.564825248715
46,19476.040268456374,1324449.363463559,11558.850847819192
47,19675.30201342282,1402536.2917256644,12077.025373972621
48,19874.56375838926,1484944.3516521174,12612.258775927061
49,20073.825503355707,1572572.6118086504,13167.466091138856
50,20273.087248322146,1661519.2657130694,13741.918487736113
51,20472.348993288593,1755591.7072013647,14337.437292653864
52,20671.610738255033,1855341.6598606952,14958.749291715563
53,20870.87248322148,1960212.7397371712,15613.573858522173
54,21070.13422818792,2071810.8827267275,16288.594357678663
55,21269.395973154365,2186166.2592612943,16983.887570092098
56,21468.657718120805,2307822.2880469905,17652.340885233592
57,21667.919463087248,2437024.91342523,18367.566652034566
58,21867.18120805369,2573675.946218433,19110.31422534849
59,22066.442953020134,2716966.729189009,19881.668550077004
60,22265.704697986577,2864095.1917126486,20678.217072644955
61,22464.96644295302,3020140.963868299,21500.772117392757
62,22664.228187919463,3183870.232988514,22349.90672012186
63,22863.489932885906,3319086.240203737,23227.870139765444
64,23062.75167785235,3490228.1584111396,24132.491171338068
65,23262.013422818793,3674075.3317335807,25065.955806877344
66,23461.275167785236,3868432.3323330483,26029.82109653194
67,23660.53691275168,4072003.56919196,27023.478700090673
68,23859.798657718122,4286734.120779897,28051.96679498351
69,24059.060402684565,4513579.6749030985,29113.090777911155
70,24258.322147651008,4758255.648863658,30209.516879407558
71,24457.58389261745,4999677.064078548,31342.48286209774
72,24656.845637583894,5257821.187597467,32513.594851229278
73,24856.107382550334,5535566.330259619,33724.844171656376
74,25055.36912751678,5836095.499410147,34979.0928655312
75,25254.63087248322,6161821.6510292,36277.89508567256
76,25453.892617449666,6437412.859130311,37624.02064410505
77,25653.154362416106,6760267.860194403,39019.90750747586
78,25852.416107382553,7112523.345722909,40468.739744662285
79,26051.677852348992,7501573.34568689,41972.95320214491
80,26250.93959731544,7956926.073053733,43527.72452826697
81,26450.201342281878,8346386.771522216,45132.693380278724
82,26649.463087248325,8747307.514616227,46799.57644211698
83,26848.724832214764,9204148.766989144,48527.99594575359
84,27047.986577181207,9683793.528905137,50343.74216804769
85,27247.24832214765,10198866.464305036,52194.825028139436
86,27446.510067114094,10744180.744274093,54085.64242005433
87,27645.771812080537,11325526.815910185,56027.0518069748
88,27845.03355704698,11938329.623484824,58127.09600209384
89,28044.295302013423,12589064.018735046,60436.21955543713
90,28243.557046979866,13280317.622570708,62307.12345663106
91,28442.81879194631,14015559.949022837,64534.29175139172
92,28642.080536912752,14797821.72779686,66920.43711537773
93,28841.342281879195,15631124.749853795,69410.88918754515
94,29040.604026845638,16519357.544757346,71997.77803180461
95,29239.86577181208,17467075.020223908,74714.51581262842
96,29439.127516778524,18557787.46414107,77542.7842014167
97,29638.389261744967,19623284.27517748,80507.5037466666
98,29837.65100671141,20751332.03498655,83619.32867583209
99,30036.912751677854,21958854.296520676,86888.98171288962
100,30236.174496644297,23248988.741254166,90328.9561560799
101,30435.43624161074,24644256.223825887,93940.0652539946
102,30634.697986577183,26163185.486919064,98137.2822013152
