,T,S4,S3/T
0,16000.0,636147.2792618574,5714.003584377476
1,16142.857142857143,683267.7553220867,6049.071959288145
2,16285.714285714286,734221.713425616,6397.171129135484
3,16428.571428571428,788241.512669249,6741.691362996959
4,16571.428571428572,835237.4274562012,7100.921661399864
5,16714.285714285714,905244.8712044408,7483.45200155621
6,16857.14285714286,981328.1818765189,7890.381593952
7,17000.0,1062444.975647533,8322.865388799359
8,17142.85714285714,1149423.0590880834,8782.617970930925
9,17285.714285714286,1243366.7942001927,9231.834897991681
10,17428.571428571428,1345311.4024494425,9720.516295016001
11,17571.428571428572,1456711.6868831334,10197.818745216675
12,17714.285714285714,1578441.730979707,10813.804877149601
13,17857.14285714286,1711975.2544552016,11466.183509253558
14,18000.0,1850048.152104692,12162.47220843872
15,18142.857142857145,2005732.0695450916,12894.002808271209
16,18285.714285714286,2178368.0255227257,13671.694056783123
17,18428.571428571428,2370162.532810159,14500.977510697181
18,18571.428571428572,2583526.756181914,15387.052001325348
19,18714.285714285714,2821779.5684085684,16340.693482657753
20,18857.14285714286,3074142.512593811,17320.671700806128
21,19000.0,3366791.5174772167,18395.09975225333
22,19142.857142857145,3694950.2259199424,19466.359530020276
23,19285.714285714286,4064186.3259331635,20726.38398244697
24,19428.571428571428,4481233.609221808,22093.675198877663
25,19571.428571428572,4955246.448948132,23425.686497829025
26,19714.285714285714,5509511.096929297,25164.958215619088
27,19857.14285714286,6175234.827487503,27088.603813674526
28,20000.0,6898696.709043736,29214.457163995306
29,20142.857142857145,7724234.910514211,31440.922291525247
30,20285.714285714286,8684804.539874064,34077.5088241201
31,20428.571428571428,9812260.89737619,36994.039892169196
32,20571.428571428572,11142063.886558417,40192.826996622956
33,20714.285714285714,12721667.203041043,43675.40037786414
34,20857.142857142855,14611431.885538176,47583.17946421043
35,21000.0,16890987.38177334,52603.53090136384
36,21142.857142857145,19666511.297116876,57992.54239870573
37,21285.714285714286,23080650.45955588,64301.44270229519
38,21428.571428571428,27327929.74032319,71732.72588192382
39,21571.428571428572,32698415.497309003,80562.1353533363
40,21714.285714285714,39567034.16662234,91165.81337924351
41,21857.142857142855,48511391.41039046,104062.30791041703
42,22000.0,60388086.20674041,119970.99736880863
43,22142.857142857145,76516229.70005082,139934.04966343235
44,22285.714285714286,98998244.79012205,165497.91293064094
45,22428.571428571428,131326855.6041094,199007.62479870286
46,22571.428571428572,179587944.56418547,244186.2134616629
47,22714.285714285714,255030211.78736234,307236.2712136489
48,22857.142857142855,380004355.7061895,399132.1603551089
49,23000.0,603237146.1176871,540834.4448121856
