,T,S3/T
0,7350.0,26.06119354770721
1,7542.842842842843,183.4004693818626
2,7735.685685685686,298.55155092070856
3,7928.528528528528,417.06845400063196
4,8121.371371371371,543.7056008880497
5,8314.214214214215,680.0384837478651
6,8507.057057057056,826.9807005675898
7,8699.8998998999,985.5045005870613
8,8892.742742742743,1156.113108251532
9,9085.585585585586,1339.3460833781096
10,9278.42842842843,1535.7401466147278
11,9471.271271271271,1745.7039417021356
12,9664.114114114114,1969.705726820939
13,9856.956956956958,2208.1713162719975
14,10049.799799799799,2461.602335047501
15,10242.642642642642,2730.3905091539555
16,10435.485485485486,3015.5312289175513
17,10628.328328328329,3316.605168300119
18,10821.171171171172,3634.38896287067
19,11014.014014014014,3969.4641789836305
20,11206.856856856857,4324.7940009285785
21,11399.6996996997,4694.876267730105
22,11592.542542542542,5079.338315742318
23,11785.385385385385,5485.036698132996
24,11978.228228228229,5910.22128483827
25,12171.071071071072,6349.367194100805
26,12363.913913913915,6817.471649406854
27,12556.756756756757,7307.838895513892
28,12749.5995995996,7819.141608044398
29,12942.442442442443,8353.932193133785
30,13135.285285285285,8913.793329299047
31,13328.128128128128,9464.396542889855
32,13520.970970970971,10048.03975809098
33,13713.813813813815,10658.93304738181
34,13906.656656656658,11295.123328445892
35,14099.4994994995,11957.240865491314
36,14292.342342342343,12646.600980818886
37,14485.185185185186,13361.536149974812
38,14678.028028028028,14101.638384606404
39,14870.870870870871,14867.774880218547
40,15063.713713713714,15659.812772493728
41,15256.556556556558,16478.334072633636
42,15449.3993993994,17325.13898209147
43,15642.242242242242,18198.453034327253
44,15835.085085085086,19100.878254952062
45,16027.927927927929,20031.169928280284
46,16220.77077077077,20991.615659424464
47,16413.613613613612,21980.704550834464
48,16606.456456456457,23030.206472341124
49,16799.299299299302,24078.173040394347
50,16992.142142142144,25161.407917033936
51,17184.984984984985,26276.770701111287
52,17377.82782782783,27419.632332593315
53,17570.670670670672,28594.777916114108
54,17763.513513513513,29800.880478103554
55,17956.35635635636,31040.81657904006
56,18149.1991991992,32317.734642474945
57,18342.04204204204,33626.1311310573
58,18534.884884884887,34967.119898329205
59,18727.727727727728,36343.36287696815
60,18920.57057057057,37756.16977178986
61,19113.413413413415,39204.8449594172
62,19306.256256256256,40690.25196423914
63,19499.099099099098,42212.914628671875
64,19691.941941941943,43772.26404671427
65,19884.784784784788,45282.109805579305
66,20077.62762762763,46892.09003637559
67,20270.47047047047,48539.75243857739
68,20463.313313313316,50225.9221966483
69,20656.156156156158,51950.182666743356
70,20848.998998999,53715.04952798104
71,21041.841841841844,55520.99079177987
72,21234.684684684686,57368.75178926659
73,21427.527527527527,59258.62648359271
74,21620.370370370372,61189.25046758494
75,21813.213213213214,63161.90380427381
76,22006.056056056055,65176.43255718933
77,22198.8988988989,67232.92183771328
78,22391.741741741742,69332.58787275171
79,22584.584584584583,71474.35471109865
80,22777.42742742743,73660.46069029422
81,22970.270270270274,75888.49663789058
82,23163.113113113115,78161.38155724254
83,23355.955955955957,80479.52189887426
84,23548.7987987988,82698.74142111554
85,23741.641641641643,85102.82947741974
86,23934.484484484485,87553.47472443499
87,24127.32732732733,90058.860091933
88,24320.17017017017,92611.40328027094
89,24513.013013013013,95214.30622106764
90,24705.855855855858,97878.86212505985
91,24898.6986986987,100590.91280966629
92,25091.54154154154,103357.92666745224
93,25284.384384384386,106411.00164004015
94,25477.227227227228,109284.51632797236
95,25670.070070070073,112192.67345411576
96,25862.912912912914,115182.6497759332
97,26055.755755755756,118199.78347630141
98,26248.5985985986,121265.75680224373
99,26441.441441441442,124378.23574109572
100,26634.284284284287,127548.76174692181
101,26827.12712712713,130773.99691207518
102,27019.96996996997,134049.16821861116
103,27212.812812812816,137377.5698910279
104,27405.655655655657,140764.20316130837
105,27598.4984984985,144203.455833868
106,27791.341341341344,147702.91164062635
107,27984.184184184185,151260.882206729
108,28177.027027027027,154875.79403365203
109,28369.86986986987,158364.6861804799
110,28562.712712712713,162012.83147223142
111,28755.55555555556,165729.9279758372
112,28948.3983983984,169514.24836071214
113,29141.24124124124,173362.80453806932
114,29334.084084084086,177274.4223184073
115,29526.926926926928,181245.28608730875
116,29719.769769769773,185281.59946174177
117,29912.612612612615,189381.09939194308
118,30105.455455455456,193543.613078378
119,30298.2982982983,197770.3864385298
120,30491.141141141143,202060.55014063278
121,30683.983983983984,206413.2557415471
122,30876.82682682683,210827.69165991485
123,31069.66966966967,215300.2951131384
124,31262.512512512512,219838.12893919623
125,31455.355355355357,224438.68693729668
126,31648.1981981982,229102.71493144106
127,31841.041041041044,233832.1009835914
128,32033.883883883886,238626.4122876252
129,32226.726726726727,243486.55744485237
130,32419.569569569572,248411.55558790683
131,32612.412412412414,253413.72551733017
132,32805.25525525526,258468.02119795565
133,32998.0980980981,263587.78914959787
134,33190.94094094094,268775.52573772444
135,33383.78378378379,274030.8749747101
136,33576.62662662663,279355.53352598986
137,33769.46946946947,284749.0810543425
138,33962.312312312315,290212.8698423015
139,34155.15515515515,295746.4091224478
140,34347.997997998,301349.8655897728
141,34540.84084084084,307023.5408221159
142,34733.68368368369,312767.7752612243
143,34926.52652652653,318583.32358554326
144,35119.36936936937,324470.66888019
145,35312.21221221221,330429.25020291685
146,35505.055055055054,336459.1758671282
147,35697.8978978979,342562.78261841595
148,35890.740740740745,348739.47110869223
149,36083.58358358359,354988.64874795254
150,36276.42642642643,361312.9135032312
151,36469.26926926927,367710.8946857671
152,36662.11211211211,374182.0715202786
153,36854.954954954956,380732.1083584709
154,37047.7977977978,387364.05695290887
155,37240.640640640646,394079.1518132899
156,37433.483483483484,400880.01826376695
157,37626.32632632633,407756.88704347744
158,37819.16916916917,414716.85838484456
159,38012.01201201201,421766.1428464525
160,38204.85485485486,428894.3513632212
161,38397.6976976977,436082.14589084993
162,38590.54054054055,443351.02808675444
163,38783.383383383385,450665.6022944983
164,38976.22622622623,458074.4970888261
165,39169.06906906907,465649.2941578146
166,39361.91191191191,473222.1201825823
167,39554.75475475476,480877.8750404227
168,39747.5975975976,488613.62061706046
169,39940.44044044044,496444.1950420322
170,40133.28328328329,504357.745302875
171,40326.12612612613,512353.3252565659
172,40518.96896896897,520429.08241967554
173,40711.811811811815,528585.8020288413
174,40904.65465465466,536830.689643017
175,41097.4974974975,545165.9993448439
176,41290.34034034034,553586.5674407103
177,41483.18318318319,562092.7893012079
178,41676.026026026026,570682.6686588968
179,41868.86886886887,579357.3277007511
180,42061.711711711716,588119.4218960641
181,42254.554554554554,596968.1257168207
182,42447.3973973974,605903.9039841804
183,42640.240240240244,614928.9104584167
184,42833.08308308308,624042.6527778308
185,43025.92592592593,633245.9608025978
186,43218.76876876877,642530.1716988486
187,43411.61161161162,651881.559801326
188,43604.454454454455,661355.7510423339
189,43797.2972972973,670992.2269082521
190,43990.140140140145,680667.3407208449
191,44182.98298298298,690442.8229185627
192,44375.82582582583,700320.1942615871
193,44568.66866866867,710288.1553817452
194,44761.51151151151,720374.3417252386
195,44954.35435435436,730563.7872386578
196,45147.1971971972,740244.7198803768
197,45340.04004004004,750404.8089878337
198,45532.882882882885,760691.3915514413
199,45725.72572572573,771107.2190115079
200,45918.568568568575,781628.676379937
201,46111.41141141141,792266.564549699
202,46304.25425425426,803028.139855
203,46497.0970970971,813888.0033854847
204,46689.93993993994,824843.8299405753
205,46882.782782782786,835906.7965477806
206,47075.62562562563,847072.4505255306
207,47268.46846846847,858335.0192455975
208,47461.311311311314,869681.2792155795
209,47654.15415415416,881137.4321964734
210,47846.996996997,892719.861208275
211,48039.83983983984,904430.3746932204
212,48232.68268268269,916261.9438337152
213,48425.525525525525,928335.271360443
214,48618.36836836837,940408.5178238756
215,48811.211211211215,952591.5702060801
216,49004.05405405405,964917.9742235448
217,49196.8968968969,977299.5236529259
218,49389.73973973974,989758.9603282044
219,49582.58258258259,1002291.3423877553
220,49775.42542542543,1014958.6231277615
221,49968.26826826827,1027725.8934298501
222,50161.11111111112,1040610.996381455
223,50353.953953953955,1053618.6896888183
224,50546.7967967968,1066739.0039768955
225,50739.639639639645,1079238.6573364418
226,50932.48248248248,1092288.7732558388
227,51125.32532532533,1105506.0089423254
228,51318.16816816817,1118853.7247727949
229,51511.01101101101,1132335.9683402716
230,51703.853853853856,1145955.3643703095
231,51896.6966966967,1159710.0180852814
232,52089.539539539546,1173570.5545639116
233,52282.382382382384,1187550.7975191935
234,52475.22522522523,1201647.942389905
235,52668.068068068074,1215866.3357676752
236,52860.91091091091,1230200.7630364639
237,53053.75375375376,1244639.8877554934
238,53246.5965965966,1259195.5925933716
239,53439.43943943944,1273867.23439983
240,53632.282282282285,1288658.3133538768
241,53825.12512512513,1303573.3079693888
242,54017.96796796797,1318599.3445199663
243,54210.81081081081,1333744.131171828
244,54403.65365365366,1349007.3013118
245,54596.4964964965,1364391.2067147046
246,54789.33933933934,1380035.0623881312
247,54982.18218218219,1395659.8372422785
248,55175.025025025025,1411400.755157143
249,55367.86786786787,1427255.0457354821
250,55560.710710710715,1443235.259754063
251,55753.55355355356,1459321.306942618
252,55946.3963963964,1475525.9855783537
253,56139.23923923924,1491852.810766721
254,56332.08208208209,1508299.7483037151
255,56524.924924924926,1524864.9572139608
256,56717.76776776777,1541543.4666842758
257,56910.610610610616,1558344.2818443459
258,57103.453453453454,1575265.9390994995
259,57296.2962962963,1592302.396251963
260,57489.139139139144,1609465.1275480506
261,57681.98198198198,1626745.0813021765
262,57874.82482482483,1644148.2844131296
263,58067.66766766767,1661676.3539989283
264,58260.51051051052,1679328.2155872926
265,58453.353353353355,1697101.4629562767
266,58646.1961961962,1714999.7949072896
267,58839.039039039046,1733024.4246675284
268,59031.88188188188,1751179.7435135203
269,59224.72472472473,1769451.0593151466
270,59417.567567567574,1787855.4174955976
271,59610.41041041041,1806387.177358617
272,59803.25325325326,1825047.368879298
273,59996.0960960961,1843823.4658101846
274,60188.93893893894,1866044.276741392
275,60381.781781781785,1880762.577227412
276,60574.62462462463,1904943.9349099637
277,60767.46746746747,1923547.958032224
278,60960.31031031031,1938612.9302250107
279,61153.15315315316,1958018.6646204963
280,61345.995995995996,1977189.574836309
281,61538.83883883884,1996855.2515919178
282,61731.681681681686,2016608.8434860702
283,61924.52452452453,2036595.097982192
284,62117.36736736737,2056788.2337690315
285,62310.210210210214,2077062.0126988094
286,62503.05305305306,2097386.8466053996
287,62695.8958958959,2117939.0117153316
288,62888.73873873874,2140579.286131003
289,63081.58158158159,2162095.452990445
290,63274.424424424426,2180921.2341962624
291,63467.26726726727,2202332.339082859
292,63660.110110110116,2224039.90962171
293,63852.95295295295,2246065.494412501
294,64045.7957957958,2268608.4041745234
295,64238.638638638644,2291656.920633419
296,64431.48148148149,2315530.55923355
297,64624.32432432433,2336191.900293395
298,64817.16716716717,2357152.4769821553
299,65010.01001001002,2378945.0838540127
300,65202.852852852855,2401098.570788473
301,65395.6956956957,2423499.253952282
302,65588.53853853855,2446971.147917974
303,65781.38138138139,2468993.8656848916
304,65974.22422422422,2491970.5379107967
305,66167.06706706708,2515406.839269724
306,66359.90990990991,2538267.7252479056
307,66552.75275275276,2561604.6787571316
308,66745.5955955956,2585203.6124812467
309,66938.43843843843,2608961.2454192135
310,67131.28128128129,2632735.000244743
311,67324.12412412412,2656706.685916254
312,67516.96696696697,2680845.473756761
313,67709.80980980981,2705173.9793921267
314,67902.65265265266,2729529.522445785
315,68095.4954954955,2754099.5792580764
316,68288.33833833833,2778823.243244458
317,68481.1811811812,2803686.8960843077
318,68674.02402402402,2828701.5667439597
319,68866.86686686687,2853853.959480261
320,69059.70970970971,2879178.7929828935
321,69252.55255255256,2904672.417041155
322,69445.3953953954,2930516.991970583
323,69638.23823823823,2957133.544241649
324,69831.0810810811,2994053.333621531
325,70023.92392392393,3019303.303179944
326,70216.76676676677,3044759.077007613
327,70409.60960960962,3070487.2295322414
328,70602.45245245246,3096479.7196296416
329,70795.2952952953,3122722.9071762376
330,70988.13813813814,3149214.719378004
331,71180.980980981,3175980.3476579627
332,71373.82382382383,3203103.649337644
333,71566.66666666667,3230810.0951821655
334,71759.50950950952,3259659.995643067
335,71952.35235235235,3289704.855420532
336,72145.1951951952,3308141.272837671
337,72338.03803803804,3333083.665375833
338,72530.88088088088,3360696.212864451
339,72723.72372372373,3388627.464723098
340,72916.56656656657,3416892.260291405
341,73109.40940940942,3445455.0838164156
342,73302.25225225226,3473993.7200187966
343,73495.0950950951,3502939.510514956
344,73687.93793793794,3532202.6707889
345,73880.78078078078,3572236.817820219
346,74073.62362362363,3598282.570254555
347,74266.46646646647,3626146.5360478936
348,74459.30930930932,3655600.142607026
349,74652.15215215215,3678027.244753287
350,74844.994994995,3707714.42536697
351,75037.83783783784,3737011.4815024673
352,75230.68068068069,3767074.7191197937
353,75423.52352352353,3797207.091319452
354,75616.36636636638,3827579.7558143474
355,75809.20920920922,3858240.3005180084
356,76002.05205205205,3889142.3974067913
357,76194.8948948949,3920260.4928209567
358,76387.73773773774,3951430.554230361
359,76580.58058058059,3982695.5129072377
360,76773.42342342343,4014185.4982302343
361,76966.26626626628,4045865.0995590575
362,77159.10910910911,4077739.681271366
363,77351.95195195195,4109805.3943412723
364,77544.7947947948,4144125.4812038126
365,77737.63763763764,4176796.3605742636
366,77930.48048048049,4209608.096193344
367,78123.32332332333,4242573.326011851
368,78316.16616616616,4275654.096971652
369,78509.00900900901,4308923.214950978
370,78701.85185185185,4342408.809298592
371,78894.6946946947,4377292.5102029415
372,79087.53753753754,4407029.662922133
373,79280.38038038039,4441254.387552611
374,79473.22322322323,4475608.118730964
375,79666.06606606607,4509992.505299404
376,79858.90890890891,4544482.192642751
377,80051.75175175176,4579107.901498267
378,80244.5945945946,4613952.778437833
379,80437.43743743745,4649085.20396371
380,80630.28028028029,4684627.842374852
381,80823.12312312312,4720774.865315629
382,81015.96596596597,4757117.46732619
