lambda,T,S3/T,r_c,phi_esc,Gamma_H4
0.15,46309.975,1354.448640702122,9.059281204879085,66862.43384754923,0.0
0.15,46309.95,288.94289439296074,5.064055571848981,68041.15575947022,1.3977461876588762e-86
0.15,46309.899999999994,73.22431904134923,4.0566329271909405,69615.08230961174,8641285.30210435
0.15,46309.84999999999,16.49346720943404,2.1795289426984596,69783.77166298898,4.012890437042366e+30
0.15,46309.82499999999,18.254033386553722,1.9159570298855066,69372.7163660714,8.03382759544591e+29
0.2,34809.975,309.339810287903,1.4980894281261552,62952.29182386706,6.850363168940816e-96
0.2,34809.95,296.6111465606504,1.5080686263034544,63196.75319602118,2.1693431078846957e-90
0.2,34809.924999999996,285.55576493285497,1.833214354731267,63446.45113100491,1.296801284610083e-85
0.2,34809.899999999994,272.9944660570046,1.7037321877953102,63710.17941568612,3.458353143565438e-80
0.2,34809.87499999999,263.40491438341127,1.7587275472996724,63962.11141767654,4.789194901676719e-76
0.2,34809.84999999999,243.48027337991502,2.36489020785214,64256.717175808124,1.915061681578059e-67
0.2,34809.82499999999,237.47693616568907,1.7114635384844548,64546.72916762675,7.466795014428537e-65
0.2,34809.79999999999,222.5961028135645,1.8493170559919063,64854.98116337623,1.9662601210063438e-58
0.2,34809.77499999999,205.2302062381488,3.608531968584211,65194.07044235598,6.062313162944007e-51
0.2,34809.749999999985,222.90978072288223,3.9361150939912988,65554.16200750954,1.4398831284830033e-58
0.2,34809.724999999984,193.90938500371016,3.880397071330964,65954.69960969896,4.594543690550183e-46
0.2,34809.69999999998,161.30514179490893,3.9036921926051003,66374.63675803732,5.036839633770382e-32
0.2,34809.67499999998,137.0457752446912,2.6720443923875847,66839.96124228109,1.3542288585025656e-21
0.2,34809.64999999998,136.7301972712243,4.031414643067048,67403.54123487031,1.8503026544710613e-21
0.2,34809.62499999998,89.8718941442986,4.46598079094997,68258.95847528559,0.22089362664559173
0.25,27929.975,494.59715993624644,0.5055348174324787,55913.789646511956,2.007520375030211e-176
0.25,27929.949999999997,492.50906877453843,0.4934083598362414,55974.43584639106,1.6097142784988342e-175
0.25,27929.924999999996,490.2983173602318,0.49763556736247616,56035.33679175501,1.4585913647152828e-174
0.25,27929.899999999994,488.1433450446799,0.5314953246565162,56097.39284891397,1.2501298452507067e-173
0.25,27929.874999999993,485.9318315215276,0.6328508232378265,56158.78828788904,1.1335577551390564e-172
0.25,27929.84999999999,483.7637142302433,0.5845083785627164,56220.13277009699,9.843065721281783e-172
0.25,27929.82499999999,481.6051585455396,0.45784974509255355,56282.53572329754,8.465729989176519e-171
0.25,27929.79999999999,479.40656972672923,0.5803733973390706,56344.53017273629,7.577346137742295e-170
0.25,27929.774999999987,477.24519578070164,0.5143019198788452,56407.02663235427,6.534986964874157e-169
0.25,27929.749999999985,475.06140381523227,0.473882499794863,56470.61541552889,5.76320734602431e-168
0.25,27929.724999999984,472.7863073172979,0.514667446334621,56532.99097673466,5.5666928376677555e-167
0.25,27929.699999999983,470.55427458548104,0.516924076645028,56596.93463428358,5.1507734842497426e-166
0.25,27929.67499999998,468.1576235900692,0.7609019018725325,56660.536540461806,5.615607742718403e-165
0.25,27929.64999999998,466.0421932506246,0.5532675486650117,56724.42822990301,4.625563408140819e-164
0.25,27929.624999999978,463.4586234307127,0.8028788562323793,56789.268618960225,6.075356888416685e-163
0.25,27929.599999999977,461.4699159327555,0.7510737348872604,56853.96020064979,4.4101521442028905e-162
0.25,27929.574999999975,459.23876662979086,0.6270290852532987,56918.74040920486,4.076341590524155e-161
0.25,27929.549999999974,456.95914351031445,0.47834314320456944,56984.71959445037,3.9541669463153816e-160
0.25,27929.524999999972,454.6653302896902,0.49411237675601827,57050.11236786743,3.8901430503662075e-159
0.25,27929.49999999997,452.300025059078,0.5229124685256912,57116.19841074595,4.1096533015929926e-158
0.25,27929.47499999997,450.00839272055293,0.5116579990668125,57182.80645900329,4.03401874785682e-157
0.25,27929.449999999968,447.6704296089272,0.5141019101670784,57249.18620368483,4.1467468936229553e-156
0.25,27929.424999999967,445.09927019071733,0.5780094454884505,57316.34169040911,5.377668548015789e-155
0.25,27929.399999999965,442.87932053260045,0.503776351581806,57383.82600138706,4.914135672777583e-154
0.25,27929.374999999964,440.526984241372,0.5278382568835921,57451.23658705258,5.123690987452678e-153
0.25,27929.349999999962,438.1279302944964,0.5214704267304273,57519.859549528286,5.596543724885755e-152
0.25,27929.32499999996,435.69421515327457,0.5847124077233063,57587.99079554963,6.327595130585819e-151
0.25,27929.29999999996,433.17998961342494,0.6453001826054039,57656.46560600349,7.751420472716583e-150
0.25,27929.274999999958,430.86947656663904,0.5169972842789772,57726.19104465061,7.750662411120056e-149
0.25,27929.249999999956,428.30981222073086,0.6861214460540621,57795.43196688368,9.933534607727307e-148
0.25,27929.224999999955,425.9148385266216,0.5131605762122451,57866.322919747945,1.0803717866705827e-146
0.25,27929.199999999953,423.40443911383034,0.5854294120174576,57935.90666321364,1.3181755318586744e-145
0.25,27929.174999999952,420.9404423094354,0.59671541335355,58007.15001275241,1.535570554436424e-144
0.25,27929.14999999995,418.4768985042999,0.5714828047998494,58078.388789342534,1.7879194710371686e-143
0.25,27929.12499999995,415.8596247168419,0.6425688616282313,58150.02609141622,2.4262014953494168e-142
0.25,27929.099999999948,413.42503309297274,0.5416786524779696,58222.55542995007,2.7442902193692906e-141
0.25,27929.074999999946,410.81588943410054,0.5401531339894778,58295.35752232594,3.6935235357844794e-140
0.25,27929.049999999945,408.1883992930687,0.5356648638880945,58368.3496092228,5.0624870230954816e-139
0.25,27929.024999999943,405.5869884641035,0.600615578586246,58441.89334073359,6.760452572578269e-138
0.25,27928.99999999994,403.00604352702106,0.5834248050704521,58515.796109125135,8.845159667854936e-137
0.25,27928.97499999994,400.4034336325642,0.6000931447389307,58590.11642368318,1.1824494644415122e-135
0.25,27928.94999999994,397.8430064587142,0.8754055691041214,58665.56418688821,1.515588598310251e-134
0.25,27928.924999999937,395.1162837263701,0.8593202046683288,58741.12702090081,2.292451789391865e-133
0.25,27928.899999999936,392.3085850799427,0.7649099813860568,58816.95823767742,3.758555873426886e-132
0.25,27928.874999999935,389.70626050580773,0.5590237340504242,58893.94369413392,5.02179539587435e-131
0.25,27928.849999999933,387.0871007080578,0.6373887083328509,58970.856314732446,6.822618401747493e-130
0.25,27928.82499999993,384.27571978915574,0.7699305058896216,59048.34457737722,1.1224528688136483e-128
0.25,27928.79999999993,381.52600354963334,0.6391162764987282,59126.6064183494,1.736500636655957e-127
0.25,27928.77499999993,378.70288544904764,0.8894646776649235,59205.306531960494,2.890012431383744e-126
0.25,27928.749999999927,376.096893681514,0.6928796003036912,59284.52434720467,3.8740720978676225e-125
0.25,27928.724999999926,373.25704044843735,0.5825971155939301,59365.08388616106,6.554825356182688e-124
0.25,27928.699999999924,370.4045360739898,0.7310474670666169,59444.71794698988,1.1230236749548853e-122
0.25,27928.674999999923,367.3803422576077,0.7071535352246253,59525.72938719756,2.282640247036856e-121
0.25,27928.64999999992,364.5970496093845,0.6060770573303169,59608.106052364536,3.649643189019096e-120
0.25,27928.62499999992,361.7006094344412,0.6181903315071228,59690.18305585177,6.53071863454724e-119
0.25,27928.59999999992,358.7780800354511,0.6858264487446157,59773.049048503875,1.199258487757466e-117
0.25,27928.574999999917,355.9996874069678,0.7083451875809069,59856.46683493097,1.9076004039507973e-116
0.25,27928.549999999916,352.8837059552785,0.800176610464001,59940.84292789915,4.246316727455993e-115
0.25,27928.524999999914,349.8589552734487,0.6268001785145296,60027.08649265052,8.630489799440451e-114
0.25,27928.499999999913,346.84004733008646,0.6962525949330723,60112.70147175951,1.743746353996785e-112
0.25,27928.47499999991,343.75370057916666,0.6410227624894175,60199.53509570529,3.7674052501963656e-111
0.25,27928.44999999991,340.85811442019207,0.8175380523430701,60286.695388542445,6.730808848285118e-110
0.25,27928.42499999991,337.8154193861688,0.6397322007687881,60375.20212741389,1.392034864848993e-108
0.25,27928.399999999907,333.96015846701346,1.1027880524085845,60463.8009880312,6.463829401492002e-107
