======================================================================
LATTICE SIMULATION LOG
Started: 2026-01-15 13:47:44
Log file: logs/simulation_20260115_134744.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------
Field precision: float32

============================================================
Starting time evolution...
Grid: 128×128, Steps: 10000000, dt: 1.00e-05
Using fused RK2: True
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
============================================================

Warming up JIT compilation...
JIT warmup complete. Starting main loop...

Step 0/10000000 | t=0.00e+00 | T=7330.0 | 621.1 steps/s | 0.00 ms/step | ETA: 0.0 min
Step 100000/10000000 | t=1.00e-03 | T=7330.0 | 706.7 steps/s | 1.41 ms/step | ETA: 233.5 min
Step 200000/10000000 | t=2.00e-03 | T=7330.0 | 818.4 steps/s | 1.22 ms/step | ETA: 199.6 min
Step 300000/10000000 | t=3.00e-03 | T=7330.0 | 896.0 steps/s | 1.12 ms/step | ETA: 180.4 min
Step 400000/10000000 | t=4.00e-03 | T=7330.0 | 951.1 steps/s | 1.05 ms/step | ETA: 168.2 min
Step 500000/10000000 | t=5.00e-03 | T=7330.0 | 980.0 steps/s | 1.02 ms/step | ETA: 161.6 min
Step 600000/10000000 | t=6.00e-03 | T=7330.0 | 984.1 steps/s | 1.02 ms/step | ETA: 159.2 min
Step 700000/10000000 | t=7.00e-03 | T=7330.0 | 998.6 steps/s | 1.00 ms/step | ETA: 155.2 min
Step 800000/10000000 | t=8.00e-03 | T=7330.0 | 1004.2 steps/s | 1.00 ms/step | ETA: 152.7 min
Step 900000/10000000 | t=9.00e-03 | T=7330.0 | 1003.2 steps/s | 1.00 ms/step | ETA: 151.2 min
Step 1000000/10000000 | t=1.00e-02 | T=7330.0 | 1025.5 steps/s | 0.98 ms/step | ETA: 146.3 min
Step 1100000/10000000 | t=1.10e-02 | T=7330.0 | 1045.7 steps/s | 0.96 ms/step | ETA: 141.8 min
Step 1200000/10000000 | t=1.20e-02 | T=7330.0 | 1064.2 steps/s | 0.94 ms/step | ETA: 137.8 min
Step 1300000/10000000 | t=1.30e-02 | T=7330.0 | 1078.0 steps/s | 0.93 ms/step | ETA: 134.5 min
Step 1400000/10000000 | t=1.40e-02 | T=7330.0 | 1092.5 steps/s | 0.92 ms/step | ETA: 131.2 min
