======================================================================
LATTICE SIMULATION LOG
Started: 2026-01-19 10:47:52
Log file: logs/simulation_20260119_104752.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------
Field precision: float32
Field states will be saved to: data/set6/T0_7345_dt_1e-05_a_0.001_interval_50000/field_states
Figures will be saved to: data/set6/T0_7345_dt_1e-05_a_0.001_interval_50000/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 128×128, Steps: 100000000, dt: 1.00e-05
Using fused RK2: True
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
============================================================

Warming up JIT compilation...
JIT warmup complete. Starting main loop...

Step 0/100000000 | t=0.00e+00 | T=7345.0 | 1618.2 steps/s | 0.00 ms/step | ETA: 0.0 min
Step 50000/100000000 | t=5.00e-04 | T=7345.0 | 1229.5 steps/s | 0.81 ms/step | ETA: 1354.9 min
Step 100000/100000000 | t=1.00e-03 | T=7345.0 | 1204.6 steps/s | 0.83 ms/step | ETA: 1382.2 min
Step 150000/100000000 | t=1.50e-03 | T=7345.0 | 1179.0 steps/s | 0.85 ms/step | ETA: 1411.5 min
Step 200000/100000000 | t=2.00e-03 | T=7345.0 | 1180.7 steps/s | 0.85 ms/step | ETA: 1408.7 min
Step 250000/100000000 | t=2.50e-03 | T=7345.0 | 1186.5 steps/s | 0.84 ms/step | ETA: 1401.2 min
Step 300000/100000000 | t=3.00e-03 | T=7345.0 | 1178.8 steps/s | 0.85 ms/step | ETA: 1409.6 min
Step 350000/100000000 | t=3.50e-03 | T=7345.0 | 1180.1 steps/s | 0.85 ms/step | ETA: 1407.3 min
Step 400000/100000000 | t=4.00e-03 | T=7345.0 | 1178.6 steps/s | 0.85 ms/step | ETA: 1408.5 min
Step 450000/100000000 | t=4.50e-03 | T=7345.0 | 1183.5 steps/s | 0.84 ms/step | ETA: 1401.9 min
Step 500000/100000000 | t=5.00e-03 | T=7345.0 | 1186.5 steps/s | 0.84 ms/step | ETA: 1397.7 min
Step 550000/100000000 | t=5.50e-03 | T=7345.0 | 1182.6 steps/s | 0.85 ms/step | ETA: 1401.6 min
Step 600000/100000000 | t=6.00e-03 | T=7345.0 | 1184.9 steps/s | 0.84 ms/step | ETA: 1398.1 min
Step 650000/100000000 | t=6.50e-03 | T=7345.0 | 1190.5 steps/s | 0.84 ms/step | ETA: 1390.9 min
Step 700000/100000000 | t=7.00e-03 | T=7345.0 | 1195.8 steps/s | 0.84 ms/step | ETA: 1384.0 min
Step 750000/100000000 | t=7.50e-03 | T=7345.0 | 1196.9 steps/s | 0.84 ms/step | ETA: 1382.0 min
Step 800000/100000000 | t=8.00e-03 | T=7345.0 | 1196.6 steps/s | 0.84 ms/step | ETA: 1381.7 min
Step 850000/100000000 | t=8.50e-03 | T=7345.0 | 1204.1 steps/s | 0.83 ms/step | ETA: 1372.4 min
Step 900000/100000000 | t=9.00e-03 | T=7345.0 | 1217.0 steps/s | 0.82 ms/step | ETA: 1357.1 min
Step 950000/100000000 | t=9.50e-03 | T=7345.0 | 1229.1 steps/s | 0.81 ms/step | ETA: 1343.1 min
Step 1000000/100000000 | t=1.00e-02 | T=7345.0 | 1238.4 steps/s | 0.81 ms/step | ETA: 1332.3 min
Step 1050000/100000000 | t=1.05e-02 | T=7345.0 | 1249.1 steps/s | 0.80 ms/step | ETA: 1320.2 min
Step 1100000/100000000 | t=1.10e-02 | T=7345.0 | 1258.3 steps/s | 0.79 ms/step | ETA: 1310.0 min
Step 1150000/100000000 | t=1.15e-02 | T=7345.0 | 1265.1 steps/s | 0.79 ms/step | ETA: 1302.2 min
Step 1200000/100000000 | t=1.20e-02 | T=7345.0 | 1272.9 steps/s | 0.79 ms/step | ETA: 1293.6 min
Step 1250000/100000000 | t=1.25e-02 | T=7345.0 | 1279.6 steps/s | 0.78 ms/step | ETA: 1286.2 min
