======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-20 10:41:00
Log file: logs/simulation_20260220_104100.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7341.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 7341.0...
  V'(0) = -3.3898e-08
  V'(VEV) = 7.1194e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = -3.3898e-08
  V'(1e0)   = -3.3899e+02
  V'(1e5)   = -9.9983e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  No barrier: V' < 0 everywhere (spinodal regime)
  Using thermal VEV: 1.0000e+11
  V'(escape) = 7.1194e-31

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/128x128_T0_7341_dt_1e-05_interval_50000_hubble_eta_0.3/field_states
Figures will be saved to: data/set6/128x128_T0_7341_dt_1e-05_interval_50000_hubble_eta_0.3/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 128×128, Steps: 1000000000, dt: 1.00e-05
Using fused RK2: True
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 6.6367e-06)
Overdamped mode: DISABLED (η = 0.3)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Step 0/1000000000 | t=0.00e+00 | T=7341.0 | a=1.000000 | H=2.41e-05 | 716.7 steps/s | 1.40 ms/step | ETA: 23253.8 min
Step 50000/1000000000 | t=5.00e-04 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1248.2 steps/s | 0.80 ms/step | ETA: 13351.8 min
Step 100000/1000000000 | t=1.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1257.7 steps/s | 0.80 ms/step | ETA: 13250.3 min
Step 150000/1000000000 | t=1.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1250.9 steps/s | 0.80 ms/step | ETA: 13321.8 min
Step 200000/1000000000 | t=2.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1200.2 steps/s | 0.83 ms/step | ETA: 13883.4 min
Step 250000/1000000000 | t=2.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1164.8 steps/s | 0.86 ms/step | ETA: 14305.1 min
Step 300000/1000000000 | t=3.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1117.4 steps/s | 0.89 ms/step | ETA: 14911.0 min
Step 350000/1000000000 | t=3.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1090.3 steps/s | 0.92 ms/step | ETA: 15280.9 min
Step 400000/1000000000 | t=4.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1075.2 steps/s | 0.93 ms/step | ETA: 15494.4 min
Step 450000/1000000000 | t=4.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1065.7 steps/s | 0.94 ms/step | ETA: 15631.9 min
Step 500000/1000000000 | t=5.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1057.2 steps/s | 0.95 ms/step | ETA: 15757.4 min
Step 550000/1000000000 | t=5.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1052.6 steps/s | 0.95 ms/step | ETA: 15825.6 min
Step 600000/1000000000 | t=6.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1043.0 steps/s | 0.96 ms/step | ETA: 15969.7 min
Step 650000/1000000000 | t=6.50e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1036.1 steps/s | 0.97 ms/step | ETA: 16076.1 min
Step 700000/1000000000 | t=7.00e-03 | T=7341.0 | a=1.000000 | H=2.41e-05 | 1027.9 steps/s | 0.97 ms/step | ETA: 16203.3 min
