======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-20 15:42:04
Log file: logs/simulation_20260220_154204.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7350.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 7350.0...
  V'(0) = 2.1550e-07
  V'(VEV) = 7.1457e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 2.1550e-07
  V'(1e0)   = 2.1550e+03
  V'(1e5)   = -9.9983e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 7.7025e+02 and 8.1034e+02
  Barrier top at: 8.0472e+02
  Escape point: 8.8519e+02
  V'(escape) = -4.0450e+05 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256_T0_7350_dx_0.005_dtphys_2.5e-07_interval_50000_hubble_eta_0.3/field_states
Figures will be saved to: data/set6/256x256_T0_7350_dx_0.005_dtphys_2.5e-07_interval_50000_hubble_eta_0.3/figs/latticeSnapshot

============================================================
RESUMING FROM CHECKPOINT
============================================================
  File: data/set6/256x256_T0_7350_dx_0.005_dtphys_2.5e-07_interval_50000_hubble_eta_0.3/field_states/state_step_0001500000.npz
  Step: 1500000  ->  resuming from step 1550000
  Time: 3.750000e-01 (physical)
  Temperature: 7349.9
  phi range: [-9.1810e-02, 8.4885e-02]
  scale_factor: 1.0000090211
  Remaining steps: 998,450,000
============================================================


============================================================
Starting time evolution...
Grid: 256×256, Steps: 1000000000, dt: 2.50e-04
Using fused RK2: True
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 6.6408e-06)
Overdamped mode: DISABLED (η = 0.3)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Step 1550000/1000000000 | t=3.88e-01 | T=7349.9 | a=1.000009 | H=2.41e-05 | 414.9 steps/s | 2.41 ms/step | ETA: 40103.3 min
Step 1600000/1000000000 | t=4.00e-01 | T=7349.9 | a=1.000009 | H=2.41e-05 | 416.2 steps/s | 2.40 ms/step | ETA: 39977.1 min
Step 1650000/1000000000 | t=4.13e-01 | T=7349.9 | a=1.000010 | H=2.41e-05 | 404.3 steps/s | 2.47 ms/step | ETA: 41150.5 min
Step 1700000/1000000000 | t=4.25e-01 | T=7349.9 | a=1.000010 | H=2.41e-05 | 406.5 steps/s | 2.46 ms/step | ETA: 40932.3 min
Step 1750000/1000000000 | t=4.38e-01 | T=7349.9 | a=1.000010 | H=2.41e-05 | 406.3 steps/s | 2.46 ms/step | ETA: 40950.6 min
Step 1800000/1000000000 | t=4.50e-01 | T=7349.9 | a=1.000011 | H=2.41e-05 | 191.8 steps/s | 5.22 ms/step | ETA: 86761.1 min
Step 1850000/1000000000 | t=4.63e-01 | T=7349.9 | a=1.000011 | H=2.41e-05 | 207.9 steps/s | 4.81 ms/step | ETA: 80002.6 min
Step 1900000/1000000000 | t=4.75e-01 | T=7349.9 | a=1.000011 | H=2.41e-05 | 221.2 steps/s | 4.52 ms/step | ETA: 75193.1 min
Step 1950000/1000000000 | t=4.88e-01 | T=7349.9 | a=1.000011 | H=2.41e-05 | 232.5 steps/s | 4.30 ms/step | ETA: 71533.7 min
Step 2000000/1000000000 | t=5.00e-01 | T=7349.9 | a=1.000012 | H=2.41e-05 | 242.1 steps/s | 4.13 ms/step | ETA: 68716.8 min
Step 2050000/1000000000 | t=5.13e-01 | T=7349.9 | a=1.000012 | H=2.41e-05 | 250.6 steps/s | 3.99 ms/step | ETA: 66359.2 min
Step 2100000/1000000000 | t=5.25e-01 | T=7349.9 | a=1.000012 | H=2.41e-05 | 257.3 steps/s | 3.89 ms/step | ETA: 64631.3 min
Step 2150000/1000000000 | t=5.38e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 213.7 steps/s | 4.68 ms/step | ETA: 77819.7 min
Step 2200000/1000000000 | t=5.50e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 221.0 steps/s | 4.53 ms/step | ETA: 75260.2 min
Step 2250000/1000000000 | t=5.63e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 192.7 steps/s | 5.19 ms/step | ETA: 86317.3 min
Step 2300000/1000000000 | t=5.75e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 198.7 steps/s | 5.03 ms/step | ETA: 83668.1 min
Step 2350000/1000000000 | t=5.88e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 204.4 steps/s | 4.89 ms/step | ETA: 81361.9 min
Step 2400000/1000000000 | t=6.00e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 206.5 steps/s | 4.84 ms/step | ETA: 80526.4 min
Step 2450000/1000000000 | t=6.13e-01 | T=7349.9 | a=1.000014 | H=2.41e-05 | 211.3 steps/s | 4.73 ms/step | ETA: 78679.0 min
Step 2500000/1000000000 | t=6.25e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 215.8 steps/s | 4.63 ms/step | ETA: 77045.3 min
Step 2550000/1000000000 | t=6.38e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 220.1 steps/s | 4.54 ms/step | ETA: 75534.3 min
Step 2600000/1000000000 | t=6.50e-01 | T=7349.9 | a=1.000015 | H=2.41e-05 | 224.2 steps/s | 4.46 ms/step | ETA: 74156.3 min
Step 2650000/1000000000 | t=6.63e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 219.5 steps/s | 4.56 ms/step | ETA: 75731.8 min
Step 2700000/1000000000 | t=6.75e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 223.1 steps/s | 4.48 ms/step | ETA: 74516.6 min
Step 2750000/1000000000 | t=6.88e-01 | T=7349.9 | a=1.000016 | H=2.41e-05 | 226.5 steps/s | 4.42 ms/step | ETA: 73381.3 min
Step 2800000/1000000000 | t=7.00e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 226.9 steps/s | 4.41 ms/step | ETA: 73251.8 min
Step 2850000/1000000000 | t=7.13e-01 | T=7349.9 | a=1.000017 | H=2.41e-05 | 133.0 steps/s | 7.52 ms/step | ETA: 124959.3 min
