======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-20 23:21:27
Log file: logs/simulation_20260220_232127.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7346.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 7346.0...
  V'(0) = 1.0462e-07
  V'(VEV) = 7.1340e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.0462e-07
  V'(1e0)   = 1.0462e+03
  V'(1e5)   = -9.9983e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 5.3999e+02 and 5.6809e+02
  Barrier top at: 5.6190e+02
  Escape point: 6.1809e+02
  V'(escape) = -1.3647e+05 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256_T0_7346_dx_0.005_dtphys_2.5e-07_interval_50000_hubble_eta_0.3/field_states
Figures will be saved to: data/set6/256x256_T0_7346_dx_0.005_dtphys_2.5e-07_interval_50000_hubble_eta_0.3/figs/latticeSnapshot

--resume specified but no checkpoints found. Starting from scratch.

============================================================
Starting time evolution...
Grid: 256×256, Steps: 1000000000, dt: 2.50e-04
Using fused RK2: True
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 6.6390e-06)
Overdamped mode: DISABLED (η = 0.3)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Step 0/1000000000 | t=0.00e+00 | T=7346.0 | a=1.000000 | H=2.41e-05 | 444.6 steps/s | 2.25 ms/step | ETA: 37483.4 min
Step 50000/1000000000 | t=1.25e-02 | T=7346.0 | a=1.000000 | H=2.41e-05 | 429.5 steps/s | 2.33 ms/step | ETA: 38805.0 min
Step 100000/1000000000 | t=2.50e-02 | T=7346.0 | a=1.000001 | H=2.41e-05 | 435.6 steps/s | 2.30 ms/step | ETA: 38258.7 min
Step 150000/1000000000 | t=3.75e-02 | T=7346.0 | a=1.000001 | H=2.41e-05 | 437.7 steps/s | 2.28 ms/step | ETA: 38071.6 min
Step 200000/1000000000 | t=5.00e-02 | T=7346.0 | a=1.000001 | H=2.41e-05 | 438.1 steps/s | 2.28 ms/step | ETA: 38039.4 min
Step 250000/1000000000 | t=6.25e-02 | T=7346.0 | a=1.000002 | H=2.41e-05 | 437.6 steps/s | 2.29 ms/step | ETA: 38074.6 min
Step 300000/1000000000 | t=7.50e-02 | T=7346.0 | a=1.000002 | H=2.41e-05 | 437.0 steps/s | 2.29 ms/step | ETA: 38129.7 min
Step 350000/1000000000 | t=8.75e-02 | T=7346.0 | a=1.000002 | H=2.41e-05 | 437.3 steps/s | 2.29 ms/step | ETA: 38102.0 min
Step 400000/1000000000 | t=1.00e-01 | T=7346.0 | a=1.000002 | H=2.41e-05 | 437.0 steps/s | 2.29 ms/step | ETA: 38127.0 min
Step 450000/1000000000 | t=1.13e-01 | T=7346.0 | a=1.000003 | H=2.41e-05 | 435.4 steps/s | 2.30 ms/step | ETA: 38263.3 min
Step 500000/1000000000 | t=1.25e-01 | T=7346.0 | a=1.000003 | H=2.41e-05 | 431.5 steps/s | 2.32 ms/step | ETA: 38602.3 min
Step 550000/1000000000 | t=1.38e-01 | T=7346.0 | a=1.000003 | H=2.41e-05 | 428.4 steps/s | 2.33 ms/step | ETA: 38881.3 min
Step 600000/1000000000 | t=1.50e-01 | T=7346.0 | a=1.000004 | H=2.41e-05 | 426.5 steps/s | 2.34 ms/step | ETA: 39054.0 min
Step 650000/1000000000 | t=1.63e-01 | T=7346.0 | a=1.000004 | H=2.41e-05 | 424.8 steps/s | 2.35 ms/step | ETA: 39207.5 min
Step 700000/1000000000 | t=1.75e-01 | T=7346.0 | a=1.000004 | H=2.41e-05 | 423.7 steps/s | 2.36 ms/step | ETA: 39304.9 min
Step 750000/1000000000 | t=1.88e-01 | T=7346.0 | a=1.000005 | H=2.41e-05 | 422.4 steps/s | 2.37 ms/step | ETA: 39423.0 min
Step 800000/1000000000 | t=2.00e-01 | T=7346.0 | a=1.000005 | H=2.41e-05 | 420.8 steps/s | 2.38 ms/step | ETA: 39579.2 min
Step 850000/1000000000 | t=2.13e-01 | T=7346.0 | a=1.000005 | H=2.41e-05 | 419.8 steps/s | 2.38 ms/step | ETA: 39668.3 min
Step 900000/1000000000 | t=2.25e-01 | T=7346.0 | a=1.000005 | H=2.41e-05 | 419.4 steps/s | 2.38 ms/step | ETA: 39699.9 min
Step 950000/1000000000 | t=2.38e-01 | T=7346.0 | a=1.000006 | H=2.41e-05 | 419.3 steps/s | 2.38 ms/step | ETA: 39710.0 min
Step 1000000/1000000000 | t=2.50e-01 | T=7346.0 | a=1.000006 | H=2.41e-05 | 418.9 steps/s | 2.39 ms/step | ETA: 39745.7 min
Step 1050000/1000000000 | t=2.63e-01 | T=7346.0 | a=1.000006 | H=2.41e-05 | 418.5 steps/s | 2.39 ms/step | ETA: 39784.0 min
Step 1100000/1000000000 | t=2.75e-01 | T=7346.0 | a=1.000007 | H=2.41e-05 | 418.3 steps/s | 2.39 ms/step | ETA: 39798.3 min
Step 1150000/1000000000 | t=2.88e-01 | T=7345.9 | a=1.000007 | H=2.41e-05 | 417.8 steps/s | 2.39 ms/step | ETA: 39842.0 min
Step 1200000/1000000000 | t=3.00e-01 | T=7345.9 | a=1.000007 | H=2.41e-05 | 417.7 steps/s | 2.39 ms/step | ETA: 39857.8 min
Step 1250000/1000000000 | t=3.13e-01 | T=7345.9 | a=1.000008 | H=2.41e-05 | 416.8 steps/s | 2.40 ms/step | ETA: 39940.2 min
Step 1300000/1000000000 | t=3.25e-01 | T=7345.9 | a=1.000008 | H=2.41e-05 | 416.6 steps/s | 2.40 ms/step | ETA: 39955.6 min
Step 1350000/1000000000 | t=3.38e-01 | T=7345.9 | a=1.000008 | H=2.41e-05 | 416.6 steps/s | 2.40 ms/step | ETA: 39952.6 min
Step 1400000/1000000000 | t=3.50e-01 | T=7345.9 | a=1.000008 | H=2.41e-05 | 416.6 steps/s | 2.40 ms/step | ETA: 39946.6 min
Step 1450000/1000000000 | t=3.63e-01 | T=7345.9 | a=1.000009 | H=2.41e-05 | 416.8 steps/s | 2.40 ms/step | ETA: 39924.9 min
Step 1500000/1000000000 | t=3.75e-01 | T=7345.9 | a=1.000009 | H=2.41e-05 | 416.8 steps/s | 2.40 ms/step | ETA: 39924.8 min
Step 1550000/1000000000 | t=3.88e-01 | T=7345.9 | a=1.000009 | H=2.41e-05 | 416.6 steps/s | 2.40 ms/step | ETA: 39944.9 min
Step 1600000/1000000000 | t=4.00e-01 | T=7345.9 | a=1.000010 | H=2.41e-05 | 416.6 steps/s | 2.40 ms/step | ETA: 39942.8 min
Step 1650000/1000000000 | t=4.13e-01 | T=7345.9 | a=1.000010 | H=2.41e-05 | 416.7 steps/s | 2.40 ms/step | ETA: 39927.4 min
Step 1700000/1000000000 | t=4.25e-01 | T=7345.9 | a=1.000010 | H=2.41e-05 | 416.8 steps/s | 2.40 ms/step | ETA: 39915.4 min
Step 1750000/1000000000 | t=4.38e-01 | T=7345.9 | a=1.000011 | H=2.41e-05 | 416.7 steps/s | 2.40 ms/step | ETA: 39928.2 min
Step 1800000/1000000000 | t=4.50e-01 | T=7345.9 | a=1.000011 | H=2.41e-05 | 416.0 steps/s | 2.40 ms/step | ETA: 39989.5 min
Step 1850000/1000000000 | t=4.63e-01 | T=7345.9 | a=1.000011 | H=2.41e-05 | 415.5 steps/s | 2.41 ms/step | ETA: 40038.4 min
Step 1900000/1000000000 | t=4.75e-01 | T=7345.9 | a=1.000011 | H=2.41e-05 | 415.1 steps/s | 2.41 ms/step | ETA: 40073.8 min
Step 1950000/1000000000 | t=4.88e-01 | T=7345.9 | a=1.000012 | H=2.41e-05 | 414.6 steps/s | 2.41 ms/step | ETA: 40122.2 min
Step 2000000/1000000000 | t=5.00e-01 | T=7345.9 | a=1.000012 | H=2.41e-05 | 414.0 steps/s | 2.42 ms/step | ETA: 40175.3 min
Step 2050000/1000000000 | t=5.13e-01 | T=7345.9 | a=1.000012 | H=2.41e-05 | 413.4 steps/s | 2.42 ms/step | ETA: 40233.3 min
Step 2100000/1000000000 | t=5.25e-01 | T=7345.9 | a=1.000013 | H=2.41e-05 | 412.9 steps/s | 2.42 ms/step | ETA: 40277.7 min
Step 2150000/1000000000 | t=5.38e-01 | T=7345.9 | a=1.000013 | H=2.41e-05 | 412.4 steps/s | 2.42 ms/step | ETA: 40325.1 min
Step 2200000/1000000000 | t=5.50e-01 | T=7345.9 | a=1.000013 | H=2.41e-05 | 412.0 steps/s | 2.43 ms/step | ETA: 40365.4 min
Step 2250000/1000000000 | t=5.63e-01 | T=7345.9 | a=1.000014 | H=2.41e-05 | 411.5 steps/s | 2.43 ms/step | ETA: 40406.3 min
Step 2300000/1000000000 | t=5.75e-01 | T=7345.9 | a=1.000014 | H=2.41e-05 | 411.3 steps/s | 2.43 ms/step | ETA: 40432.8 min
Step 2350000/1000000000 | t=5.88e-01 | T=7345.9 | a=1.000014 | H=2.41e-05 | 410.9 steps/s | 2.43 ms/step | ETA: 40463.9 min
Step 2400000/1000000000 | t=6.00e-01 | T=7345.9 | a=1.000014 | H=2.41e-05 | 410.7 steps/s | 2.44 ms/step | ETA: 40487.5 min
Step 2450000/1000000000 | t=6.13e-01 | T=7345.9 | a=1.000015 | H=2.41e-05 | 410.5 steps/s | 2.44 ms/step | ETA: 40500.3 min
Step 2500000/1000000000 | t=6.25e-01 | T=7345.9 | a=1.000015 | H=2.41e-05 | 410.3 steps/s | 2.44 ms/step | ETA: 40518.5 min
Step 2550000/1000000000 | t=6.38e-01 | T=7345.9 | a=1.000015 | H=2.41e-05 | 410.1 steps/s | 2.44 ms/step | ETA: 40536.2 min
Step 2600000/1000000000 | t=6.50e-01 | T=7345.9 | a=1.000016 | H=2.41e-05 | 410.0 steps/s | 2.44 ms/step | ETA: 40548.6 min
Step 2650000/1000000000 | t=6.63e-01 | T=7345.9 | a=1.000016 | H=2.41e-05 | 409.7 steps/s | 2.44 ms/step | ETA: 40568.9 min
