======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-23 14:17:40
Log file: logs/simulation_20260223_141740.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 3.00e-04, dt (rescaled) = 3.0000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 5.1962e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7400.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 7400.0...
  V'(0) = 1.6066e-06
  V'(VEV) = 7.2925e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.6066e-06
  V'(1e0)   = 1.6066e+04
  V'(1e5)   = -9.9981e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.1249e+03 and 2.2355e+03
  Barrier top at: 2.1539e+03
  Escape point: 2.3693e+03
  V'(escape) = -8.3211e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7400_dx_0.001_dtphys_0.0003_interval_100_3D_hubble_eta_0.3/field_states
Figures will be saved to: data/set6/256x256x256_T0_7400_dx_0.001_dtphys_0.0003_interval_100_3D_hubble_eta_0.3/figs/latticeSnapshot

--resume specified but no checkpoints found. Starting from scratch.

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 10000000000, dt: 3.00e-01
Integrator: BAOAB (2 passes/step, table V')
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 3.6497e+01)
Overdamped mode: DISABLED (η = 0.3)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Step 0/10000000000 | t=0.00e+00 | T=7400.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 229.30 ms/step | ETA: 38217147.2 min
Step 100/10000000000 | t=3.00e-02 | T=7400.0 | a=1.000001 | H=2.41e-05 | 6.1 steps/s | 163.14 ms/step | ETA: 27190633.1 min
Step 200/10000000000 | t=6.00e-02 | T=7400.0 | a=1.000001 | H=2.41e-05 | 6.3 steps/s | 159.44 ms/step | ETA: 26572662.9 min
Step 300/10000000000 | t=9.00e-02 | T=7400.0 | a=1.000002 | H=2.41e-05 | 6.4 steps/s | 157.38 ms/step | ETA: 26229186.3 min
Step 400/10000000000 | t=1.20e-01 | T=7400.0 | a=1.000003 | H=2.41e-05 | 6.4 steps/s | 156.22 ms/step | ETA: 26037146.9 min
Step 500/10000000000 | t=1.50e-01 | T=7400.0 | a=1.000004 | H=2.41e-05 | 6.4 steps/s | 156.60 ms/step | ETA: 26100571.6 min
Step 600/10000000000 | t=1.80e-01 | T=7400.0 | a=1.000004 | H=2.41e-05 | 6.4 steps/s | 156.51 ms/step | ETA: 26085543.6 min
Step 700/10000000000 | t=2.10e-01 | T=7400.0 | a=1.000005 | H=2.41e-05 | 6.4 steps/s | 157.30 ms/step | ETA: 26216389.7 min
Step 800/10000000000 | t=2.40e-01 | T=7400.0 | a=1.000006 | H=2.41e-05 | 6.4 steps/s | 157.39 ms/step | ETA: 26232104.3 min
Step 900/10000000000 | t=2.70e-01 | T=7400.0 | a=1.000007 | H=2.41e-05 | 6.3 steps/s | 157.66 ms/step | ETA: 26276874.6 min
Step 1000/10000000000 | t=3.00e-01 | T=7399.9 | a=1.000007 | H=2.41e-05 | 6.3 steps/s | 158.49 ms/step | ETA: 26414710.1 min
Step 1100/10000000000 | t=3.30e-01 | T=7399.9 | a=1.000008 | H=2.41e-05 | 6.2 steps/s | 160.45 ms/step | ETA: 26741981.6 min
Step 1200/10000000000 | t=3.60e-01 | T=7399.9 | a=1.000009 | H=2.41e-05 | 6.2 steps/s | 160.52 ms/step | ETA: 26753834.6 min
Step 1300/10000000000 | t=3.90e-01 | T=7399.9 | a=1.000009 | H=2.41e-05 | 6.2 steps/s | 160.76 ms/step | ETA: 26793723.4 min
Step 1400/10000000000 | t=4.20e-01 | T=7399.9 | a=1.000010 | H=2.41e-05 | 6.2 steps/s | 160.64 ms/step | ETA: 26773819.6 min
Step 1500/10000000000 | t=4.50e-01 | T=7399.9 | a=1.000011 | H=2.41e-05 | 6.2 steps/s | 160.70 ms/step | ETA: 26782978.9 min
Step 1600/10000000000 | t=4.80e-01 | T=7399.9 | a=1.000012 | H=2.41e-05 | 6.2 steps/s | 160.46 ms/step | ETA: 26743377.5 min
