======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-23 15:17:58
Log file: logs/simulation_20260223_151758.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 1.00e-04, dt (rescaled) = 1.0000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 1.7321e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7450.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 7450.0...
  V'(0) = 3.0071e-06
  V'(VEV) = 7.4413e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 3.0071e-06
  V'(1e0)   = 3.0071e+04
  V'(1e5)   = -9.9980e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.8810e+03 and 3.0310e+03
  Barrier top at: 2.9120e+03
  Escape point: 3.2032e+03
  V'(escape) = -2.1137e+07 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7450_dx_0.001_dtphys_0.0001_interval_50_3D_hubble_eta_0.3/field_states
Figures will be saved to: data/set6/256x256x256_T0_7450_dx_0.001_dtphys_0.0001_interval_50_3D_hubble_eta_0.3/figs/latticeSnapshot

--resume specified but no checkpoints found. Starting from scratch.

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 10000000000, dt: 1.00e-01
Integrator: RK2 non-fused (2 passes/step, table V')
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 2.1142e+01)
Overdamped mode: DISABLED (η = 0.3)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Step 0/10000000000 | t=0.00e+00 | T=7450.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 227.51 ms/step | ETA: 37918011.3 min
Step 50/10000000000 | t=5.00e-03 | T=7450.0 | a=1.000000 | H=2.41e-05 | 4.5 steps/s | 223.40 ms/step | ETA: 37233486.5 min
Step 100/10000000000 | t=1.00e-02 | T=7450.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 227.08 ms/step | ETA: 37845909.0 min
Step 150/10000000000 | t=1.50e-02 | T=7450.0 | a=1.000000 | H=2.41e-05 | 4.5 steps/s | 223.71 ms/step | ETA: 37285648.4 min
Step 200/10000000000 | t=2.00e-02 | T=7450.0 | a=1.000000 | H=2.41e-05 | 4.5 steps/s | 222.13 ms/step | ETA: 37021672.6 min
Step 250/10000000000 | t=2.50e-02 | T=7450.0 | a=1.000001 | H=2.41e-05 | 4.5 steps/s | 221.82 ms/step | ETA: 36970708.3 min
Step 300/10000000000 | t=3.00e-02 | T=7450.0 | a=1.000001 | H=2.41e-05 | 4.5 steps/s | 221.18 ms/step | ETA: 36864127.4 min
Step 350/10000000000 | t=3.50e-02 | T=7450.0 | a=1.000001 | H=2.41e-05 | 4.5 steps/s | 220.67 ms/step | ETA: 36778592.3 min
Step 400/10000000000 | t=4.00e-02 | T=7450.0 | a=1.000001 | H=2.41e-05 | 4.5 steps/s | 220.37 ms/step | ETA: 36728615.3 min
Step 450/10000000000 | t=4.50e-02 | T=7450.0 | a=1.000001 | H=2.41e-05 | 4.5 steps/s | 220.33 ms/step | ETA: 36722014.6 min
Step 500/10000000000 | t=5.00e-02 | T=7450.0 | a=1.000001 | H=2.41e-05 | 4.5 steps/s | 220.37 ms/step | ETA: 36729015.5 min
Step 550/10000000000 | t=5.50e-02 | T=7450.0 | a=1.000001 | H=2.41e-05 | 4.5 steps/s | 220.41 ms/step | ETA: 36735163.2 min
Step 600/10000000000 | t=6.00e-02 | T=7450.0 | a=1.000001 | H=2.41e-05 | 4.5 steps/s | 220.43 ms/step | ETA: 36738723.2 min
Step 650/10000000000 | t=6.50e-02 | T=7450.0 | a=1.000002 | H=2.41e-05 | 4.5 steps/s | 220.38 ms/step | ETA: 36729269.7 min
Step 700/10000000000 | t=7.00e-02 | T=7450.0 | a=1.000002 | H=2.41e-05 | 4.5 steps/s | 220.30 ms/step | ETA: 36716956.5 min
Step 750/10000000000 | t=7.50e-02 | T=7450.0 | a=1.000002 | H=2.41e-05 | 4.5 steps/s | 220.20 ms/step | ETA: 36700315.3 min
Step 800/10000000000 | t=8.00e-02 | T=7450.0 | a=1.000002 | H=2.41e-05 | 4.5 steps/s | 220.16 ms/step | ETA: 36693926.1 min
