======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-23 16:08:37
Log file: logs/simulation_20260223_160837.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 1.00e-04, dt (rescaled) = 1.0000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 1.7321e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7450.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 7450.0...
  V'(0) = 3.0071e-06
  V'(VEV) = 7.4413e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 3.0071e-06
  V'(1e0)   = 3.0071e+04
  V'(1e5)   = -9.9980e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.8810e+03 and 3.0310e+03
  Barrier top at: 2.9120e+03
  Escape point: 3.2032e+03
  V'(escape) = -2.1137e+07 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7450_dx_0.001_dtphys_0.0001_interval_1000_3D_hubble_eta_0.3_baoab/field_states
Figures will be saved to: data/set6/256x256x256_T0_7450_dx_0.001_dtphys_0.0001_interval_1000_3D_hubble_eta_0.3_baoab/figs/latticeSnapshot

--resume specified but no checkpoints found. Starting from scratch.

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 10000000000, dt: 1.00e-01
Integrator: baoab
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 2.1142e+01)
Overdamped mode: DISABLED (η = 0.3)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=100000.0, interval=10)
Step 0/10000000000 | t=0.00e+00 | T=7450.0 | a=1.000000 | H=2.41e-05 | 3.8 steps/s | 265.97 ms/step | ETA: 44327696.2 min
Step 1000/10000000000 | t=1.00e-01 | T=7450.0 | a=1.000002 | H=2.41e-05 | 11.8 steps/s | 84.63 ms/step | ETA: 14104832.4 min
Step 2000/10000000000 | t=2.00e-01 | T=7450.0 | a=1.000005 | H=2.41e-05 | 11.8 steps/s | 84.53 ms/step | ETA: 14088114.0 min
Step 3000/10000000000 | t=3.00e-01 | T=7449.9 | a=1.000007 | H=2.41e-05 | 11.8 steps/s | 84.61 ms/step | ETA: 14101233.6 min
Step 4000/10000000000 | t=4.00e-01 | T=7449.9 | a=1.000010 | H=2.41e-05 | 11.7 steps/s | 85.42 ms/step | ETA: 14235844.0 min
Step 5000/10000000000 | t=5.00e-01 | T=7449.9 | a=1.000012 | H=2.41e-05 | 11.8 steps/s | 84.79 ms/step | ETA: 14132296.0 min
Step 6000/10000000000 | t=6.00e-01 | T=7449.9 | a=1.000014 | H=2.41e-05 | 11.8 steps/s | 84.75 ms/step | ETA: 14125697.4 min
Step 7000/10000000000 | t=7.00e-01 | T=7449.9 | a=1.000017 | H=2.41e-05 | 11.8 steps/s | 84.87 ms/step | ETA: 14144692.3 min
Step 8000/10000000000 | t=8.00e-01 | T=7449.9 | a=1.000019 | H=2.41e-05 | 11.8 steps/s | 84.85 ms/step | ETA: 14141798.8 min
Step 9000/10000000000 | t=9.00e-01 | T=7449.8 | a=1.000022 | H=2.41e-05 | 11.8 steps/s | 84.51 ms/step | ETA: 14085164.2 min
Step 10000/10000000000 | t=1.00e+00 | T=7449.8 | a=1.000024 | H=2.41e-05 | 11.8 steps/s | 84.61 ms/step | ETA: 14100858.5 min
Step 11000/10000000000 | t=1.10e+00 | T=7449.8 | a=1.000026 | H=2.41e-05 | 11.8 steps/s | 84.60 ms/step | ETA: 14100142.9 min
Step 12000/10000000000 | t=1.20e+00 | T=7449.8 | a=1.000029 | H=2.41e-05 | 11.9 steps/s | 84.20 ms/step | ETA: 14033528.4 min
Step 13000/10000000000 | t=1.30e+00 | T=7449.8 | a=1.000031 | H=2.41e-05 | 11.9 steps/s | 83.76 ms/step | ETA: 13960600.0 min
Step 14000/10000000000 | t=1.40e+00 | T=7449.7 | a=1.000034 | H=2.41e-05 | 12.0 steps/s | 83.42 ms/step | ETA: 13903340.4 min
Step 15000/10000000000 | t=1.50e+00 | T=7449.7 | a=1.000036 | H=2.41e-05 | 12.0 steps/s | 83.11 ms/step | ETA: 13851332.0 min
Step 16000/10000000000 | t=1.60e+00 | T=7449.7 | a=1.000038 | H=2.41e-05 | 12.0 steps/s | 83.35 ms/step | ETA: 13890975.8 min
