======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-24 23:29:12
Log file: logs/simulation_20260224_232912.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 1.00e-04, dt (rescaled) = 1.0000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 1.7321e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=15000.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 15000.0...
  V'(0) = 3.2275e-04
  V'(VEV) = 6.0737e-30
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 3.2275e-04
  V'(1e0)   = 3.2275e+06
  V'(1e5)   = -8.9782e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 4.6935e+04 and 4.9377e+04
  Barrier top at: 4.8160e+04
  Escape point: 5.2976e+04
  V'(escape) = -9.7134e+09 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_15000_dx_0.001_dtphys_0.0001_interval_10000_3D_hubble_eta_0.3_rk2_nonfused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_15000_dx_0.001_dtphys_0.0001_interval_10000_3D_hubble_eta_0.3_rk2_nonfused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 1000000, dt: 1.00e-01
Integrator: rk2_nonfused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 3.0000e+01)
Overdamped mode: DISABLED (η = 0.3)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=10000.0, interval=100)
Step 0/1000000 | t=0.00e+00 | T=15000.0 | a=1.000000 | H=2.41e-05 | 2.1 steps/s | 486.86 ms/step | ETA: 8114.4 min

*** phi threshold exceeded: max|phi|=10118.0 > 10000.0
*** Switching to dense snapshots: every 100 steps

Step 1800/1000000 | t=1.80e-01 | T=14999.9 | a=1.000004 | H=2.41e-05 | 12.8 steps/s | 78.09 ms/step | ETA: 1299.2 min
Step 1900/1000000 | t=1.90e-01 | T=14999.9 | a=1.000005 | H=2.41e-05 | 12.7 steps/s | 78.88 ms/step | ETA: 1312.2 min
Step 2000/1000000 | t=2.00e-01 | T=14999.9 | a=1.000005 | H=2.41e-05 | 12.6 steps/s | 79.35 ms/step | ETA: 1319.9 min
Step 2100/1000000 | t=2.10e-01 | T=14999.9 | a=1.000005 | H=2.41e-05 | 12.5 steps/s | 79.91 ms/step | ETA: 1329.0 min
Step 2200/1000000 | t=2.20e-01 | T=14999.9 | a=1.000005 | H=2.41e-05 | 12.4 steps/s | 80.42 ms/step | ETA: 1337.4 min
Step 2300/1000000 | t=2.30e-01 | T=14999.9 | a=1.000006 | H=2.41e-05 | 12.4 steps/s | 80.80 ms/step | ETA: 1343.6 min
Step 2400/1000000 | t=2.40e-01 | T=14999.9 | a=1.000006 | H=2.41e-05 | 12.3 steps/s | 81.17 ms/step | ETA: 1349.7 min
Step 2500/1000000 | t=2.50e-01 | T=14999.9 | a=1.000006 | H=2.41e-05 | 12.3 steps/s | 81.52 ms/step | ETA: 1355.3 min
Step 2600/1000000 | t=2.60e-01 | T=14999.9 | a=1.000006 | H=2.41e-05 | 12.2 steps/s | 81.92 ms/step | ETA: 1361.8 min
Step 2700/1000000 | t=2.70e-01 | T=14999.9 | a=1.000006 | H=2.41e-05 | 12.2 steps/s | 82.26 ms/step | ETA: 1367.2 min
Step 2800/1000000 | t=2.80e-01 | T=14999.9 | a=1.000007 | H=2.41e-05 | 12.0 steps/s | 83.41 ms/step | ETA: 1386.2 min
Step 2900/1000000 | t=2.90e-01 | T=14999.9 | a=1.000007 | H=2.41e-05 | 11.9 steps/s | 83.70 ms/step | ETA: 1390.9 min
Step 3000/1000000 | t=3.00e-01 | T=14999.9 | a=1.000007 | H=2.41e-05 | 11.9 steps/s | 84.27 ms/step | ETA: 1400.3 min
Step 3100/1000000 | t=3.10e-01 | T=14999.9 | a=1.000007 | H=2.41e-05 | 11.8 steps/s | 84.77 ms/step | ETA: 1408.5 min
Step 3200/1000000 | t=3.20e-01 | T=14999.9 | a=1.000008 | H=2.41e-05 | 11.8 steps/s | 84.93 ms/step | ETA: 1410.9 min
Step 3300/1000000 | t=3.30e-01 | T=14999.9 | a=1.000008 | H=2.41e-05 | 11.8 steps/s | 85.08 ms/step | ETA: 1413.4 min
