======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-25 12:48:44
Log file: logs/simulation_20260225_124844.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 5.00e-05, dt (rescaled) = 5.0000e-02
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 8.6603e-02 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7370.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 0.3 GeV  →  3H/η = 2.41e-04
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11

Finding thermal VEV at T = 7370.0...
  V'(0) = 7.7081e-07
  V'(VEV) = 7.2041e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 7.7081e-07
  V'(1e0)   = 7.7081e+03
  V'(1e5)   = -9.9982e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 1.4897e+03 and 1.5672e+03
  Barrier top at: 1.5078e+03
  Escape point: 1.6586e+03
  V'(escape) = -2.7585e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7370_dx_0.001_dtphys_5e-05_interval_1000_3D_hubble_eta_0.3_rk2_nonfused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7370_dx_0.001_dtphys_5e-05_interval_1000_3D_hubble_eta_0.3_rk2_nonfused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 10000000000, dt: 5.00e-02
Integrator: rk2_nonfused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 1.4869e+01)
Overdamped mode: DISABLED (η = 0.3)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 2.41e-04
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=10000.0, interval=5)
Step 0/10000000000 | t=0.00e+00 | T=7370.0 | a=1.000000 | H=2.41e-05 | 4.3 steps/s | 233.54 ms/step | ETA: 38923502.0 min
Step 1000/10000000000 | t=5.00e-02 | T=7370.0 | a=1.000001 | H=2.41e-05 | 14.2 steps/s | 70.52 ms/step | ETA: 11752660.0 min
Step 2000/10000000000 | t=1.00e-01 | T=7370.0 | a=1.000002 | H=2.41e-05 | 14.8 steps/s | 67.67 ms/step | ETA: 11277671.8 min
Step 3000/10000000000 | t=1.50e-01 | T=7370.0 | a=1.000004 | H=2.41e-05 | 15.0 steps/s | 66.89 ms/step | ETA: 11147617.6 min
Step 4000/10000000000 | t=2.00e-01 | T=7370.0 | a=1.000005 | H=2.41e-05 | 14.9 steps/s | 67.31 ms/step | ETA: 11218071.9 min
Step 5000/10000000000 | t=2.50e-01 | T=7370.0 | a=1.000006 | H=2.41e-05 | 14.8 steps/s | 67.79 ms/step | ETA: 11298044.6 min
Step 6000/10000000000 | t=3.00e-01 | T=7369.9 | a=1.000007 | H=2.41e-05 | 14.9 steps/s | 67.04 ms/step | ETA: 11172580.5 min
Step 7000/10000000000 | t=3.50e-01 | T=7369.9 | a=1.000008 | H=2.41e-05 | 15.1 steps/s | 66.41 ms/step | ETA: 11068258.7 min
Step 8000/10000000000 | t=4.00e-01 | T=7369.9 | a=1.000010 | H=2.41e-05 | 15.2 steps/s | 65.91 ms/step | ETA: 10985455.4 min
Step 9000/10000000000 | t=4.50e-01 | T=7369.9 | a=1.000011 | H=2.41e-05 | 15.3 steps/s | 65.46 ms/step | ETA: 10909617.9 min
Step 10000/10000000000 | t=5.00e-01 | T=7369.9 | a=1.000012 | H=2.41e-05 | 15.3 steps/s | 65.29 ms/step | ETA: 10882431.1 min
Step 11000/10000000000 | t=5.50e-01 | T=7369.9 | a=1.000013 | H=2.41e-05 | 15.3 steps/s | 65.22 ms/step | ETA: 10869814.6 min
Step 12000/10000000000 | t=6.00e-01 | T=7369.9 | a=1.000014 | H=2.41e-05 | 15.4 steps/s | 64.99 ms/step | ETA: 10832051.3 min
Step 13000/10000000000 | t=6.50e-01 | T=7369.9 | a=1.000016 | H=2.41e-05 | 15.4 steps/s | 64.79 ms/step | ETA: 10798148.0 min
Step 14000/10000000000 | t=7.00e-01 | T=7369.9 | a=1.000017 | H=2.41e-05 | 15.5 steps/s | 64.62 ms/step | ETA: 10770189.6 min
Step 15000/10000000000 | t=7.50e-01 | T=7369.9 | a=1.000018 | H=2.41e-05 | 15.5 steps/s | 64.51 ms/step | ETA: 10751340.5 min
Step 16000/10000000000 | t=8.00e-01 | T=7369.9 | a=1.000019 | H=2.41e-05 | 15.5 steps/s | 64.37 ms/step | ETA: 10728479.1 min
