======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-26 00:12:41
Log file: logs/simulation_20260226_001241.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 2.00e-05, dt (rescaled) = 2.0000e-02
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 3.4641e-02 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7350.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 5000 GeV  →  3H/η = 1.44e-08
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7350.0...
  V'(0) = 2.1550e-07
  V'(VEV) = 7.1457e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 2.1550e-07
  V'(1e0)   = 2.1550e+03
  V'(1e5)   = -9.9983e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 7.7025e+02 and 8.1034e+02
  Barrier top at: 8.0472e+02
  Escape point: 8.8519e+02
  V'(escape) = -4.0450e+05 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7350_dx_0.001_dtphys_2e-05_interval_5000_3D_hubble_eta_5000_gb_1.09_gf_1.09_rk2_fused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7350_dx_0.001_dtphys_2e-05_interval_5000_3D_hubble_eta_5000_gb_1.09_gf_1.09_rk2_fused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 10000000000, dt: 2.00e-02
Integrator: rk2_fused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 1.2124e+03)
Overdamped mode: DISABLED (η = 5000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 1.44e-08
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=10000.0, interval=100)
Step 0/10000000000 | t=0.00e+00 | T=7350.0 | a=1.000000 | H=2.41e-05 | 3.1 steps/s | 323.22 ms/step | ETA: 53869287.2 min
Step 5000/10000000000 | t=1.00e-01 | T=7350.0 | a=1.000002 | H=2.41e-05 | 13.1 steps/s | 76.46 ms/step | ETA: 12743517.3 min
Step 10000/10000000000 | t=2.00e-01 | T=7350.0 | a=1.000005 | H=2.41e-05 | 13.3 steps/s | 75.10 ms/step | ETA: 12515977.6 min
Step 15000/10000000000 | t=3.00e-01 | T=7349.9 | a=1.000007 | H=2.41e-05 | 13.4 steps/s | 74.70 ms/step | ETA: 12449765.1 min
Step 20000/10000000000 | t=4.00e-01 | T=7349.9 | a=1.000010 | H=2.41e-05 | 13.4 steps/s | 74.57 ms/step | ETA: 12428889.4 min
Step 25000/10000000000 | t=5.00e-01 | T=7349.9 | a=1.000012 | H=2.41e-05 | 13.4 steps/s | 74.48 ms/step | ETA: 12413056.6 min

*** phi threshold exceeded: max|phi|=10018.3 > 10000.0
*** Switching to dense snapshots: every 100 steps

Step 26800/10000000000 | t=5.36e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.4 steps/s | 74.47 ms/step | ETA: 12411112.2 min
Step 26900/10000000000 | t=5.38e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.4 steps/s | 74.55 ms/step | ETA: 12424686.7 min
Step 27000/10000000000 | t=5.40e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.4 steps/s | 74.63 ms/step | ETA: 12438356.1 min
Step 27100/10000000000 | t=5.42e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.4 steps/s | 74.75 ms/step | ETA: 12457916.9 min
Step 27200/10000000000 | t=5.44e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.4 steps/s | 74.82 ms/step | ETA: 12469246.3 min
Step 27300/10000000000 | t=5.46e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.3 steps/s | 74.95 ms/step | ETA: 12492129.6 min
Step 27400/10000000000 | t=5.48e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.3 steps/s | 75.03 ms/step | ETA: 12505205.3 min
Step 27500/10000000000 | t=5.50e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.3 steps/s | 75.09 ms/step | ETA: 12515354.6 min
Step 27600/10000000000 | t=5.52e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.3 steps/s | 75.16 ms/step | ETA: 12526093.4 min
Step 27700/10000000000 | t=5.54e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.3 steps/s | 75.22 ms/step | ETA: 12536347.1 min
Step 27800/10000000000 | t=5.56e-01 | T=7349.9 | a=1.000013 | H=2.41e-05 | 13.3 steps/s | 75.28 ms/step | ETA: 12546363.6 min
