======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-27 16:02:53
Log file: logs/simulation_20260227_160253.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 1.00e-04, dt (rescaled) = 1.0000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 1.7321e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7380.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 7380.0 GeV  →  3H/η = 9.78e-09
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7380.0...
  V'(0) = 1.0490e-06
  V'(VEV) = 7.2335e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.0490e-06
  V'(1e0)   = 1.0490e+04
  V'(1e5)   = -9.9982e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 1.7346e+03 and 1.8249e+03
  Barrier top at: 1.7521e+03
  Escape point: 1.9274e+03
  V'(escape) = -4.3874e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7380_dx_0.001_dtphys_0.0001_interval_5000_3D_hubble_eta_7380_gb_1.09_gf_1.09_rk2_fused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7380_dx_0.001_dtphys_0.0001_interval_5000_3D_hubble_eta_7380_gb_1.09_gf_1.09_rk2_fused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 500000, dt: 1.00e-01
Integrator: rk2_fused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 3.3004e+03)
Overdamped mode: DISABLED (η = 7380.0)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 9.78e-09
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=40000.0, interval=10)
Step 0/500000 | t=0.00e+00 | T=7380.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 227.20 ms/step | ETA: 1893.4 min
Step 5000/500000 | t=5.00e-01 | T=7379.9 | a=1.000012 | H=2.41e-05 | 11.9 steps/s | 84.18 ms/step | ETA: 694.5 min
Step 10000/500000 | t=1.00e+00 | T=7379.8 | a=1.000024 | H=2.41e-05 | 12.1 steps/s | 82.49 ms/step | ETA: 673.7 min

*** phi threshold exceeded: max|phi|=40287.6 > 40000.0
*** Switching to dense snapshots: every 10 steps

Step 14000/500000 | t=1.40e+00 | T=7379.8 | a=1.000034 | H=2.41e-05 | 12.1 steps/s | 82.64 ms/step | ETA: 669.4 min
Step 14010/500000 | t=1.40e+00 | T=7379.8 | a=1.000034 | H=2.41e-05 | 12.1 steps/s | 82.82 ms/step | ETA: 670.8 min
Step 14020/500000 | t=1.40e+00 | T=7379.8 | a=1.000034 | H=2.41e-05 | 12.1 steps/s | 82.97 ms/step | ETA: 672.0 min
Step 14030/500000 | t=1.40e+00 | T=7379.8 | a=1.000034 | H=2.41e-05 | 12.0 steps/s | 83.11 ms/step | ETA: 673.2 min
Step 14040/500000 | t=1.40e+00 | T=7379.8 | a=1.000034 | H=2.41e-05 | 12.0 steps/s | 83.28 ms/step | ETA: 674.5 min
Step 14050/500000 | t=1.41e+00 | T=7379.8 | a=1.000034 | H=2.41e-05 | 12.0 steps/s | 83.43 ms/step | ETA: 675.7 min
Step 14060/500000 | t=1.41e+00 | T=7379.8 | a=1.000034 | H=2.41e-05 | 12.0 steps/s | 83.57 ms/step | ETA: 676.9 min
Step 14070/500000 | t=1.41e+00 | T=7379.8 | a=1.000034 | H=2.41e-05 | 11.9 steps/s | 83.72 ms/step | ETA: 678.0 min
Step 14080/500000 | t=1.41e+00 | T=7379.8 | a=1.000034 | H=2.41e-05 | 11.9 steps/s | 84.02 ms/step | ETA: 680.4 min
Step 14090/500000 | t=1.41e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.9 steps/s | 84.16 ms/step | ETA: 681.6 min
Step 14100/500000 | t=1.41e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.9 steps/s | 84.30 ms/step | ETA: 682.7 min
Step 14110/500000 | t=1.41e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.8 steps/s | 84.45 ms/step | ETA: 683.9 min
Step 14120/500000 | t=1.41e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.8 steps/s | 84.59 ms/step | ETA: 685.0 min
Step 14130/500000 | t=1.41e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.8 steps/s | 84.75 ms/step | ETA: 686.3 min
Step 14140/500000 | t=1.41e+00 | T=7379.7 | a=1.000034 | H=2.41e-05 | 11.8 steps/s | 84.91 ms/step | ETA: 687.5 min
