======================================================================
LATTICE SIMULATION LOG
Started: 2026-02-28 09:01:25
Log file: logs/simulation_20260228_090125.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 1.00e-04, dt (rescaled) = 1.0000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 1.7321e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7385.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 50000 GeV  →  3H/η = 1.44e-09
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7385.0...
  V'(0) = 1.1883e-06
  V'(VEV) = 7.2482e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.1883e-06
  V'(1e0)   = 1.1883e+04
  V'(1e5)   = -9.9982e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 1.8249e+03 and 1.9198e+03
  Barrier top at: 1.8614e+03
  Escape point: 2.0476e+03
  V'(escape) = -5.2920e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7385_dx_0.001_dtphys_0.0001_interval_10000_3D_hubble_eta_50000_gb_1.09_gf_1.09_rk2_fused_table/field_states
Figures will be saved to: data/set6/256x256x256_T0_7385_dx_0.001_dtphys_0.0001_interval_10000_3D_hubble_eta_50000_gb_1.09_gf_1.09_rk2_fused_table/figs/latticeSnapshot

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 100000, dt: 1.00e-01
Integrator: rk2_fused_table
Using Vprime lookup table: True (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 8.5936e+03)
Overdamped mode: DISABLED (η = 50000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 1.44e-09
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=40000.0, interval=50)

*** phi threshold exceeded: max|phi|=57151.8 > 40000.0
*** Switching to dense snapshots: every 50 steps

Step 0/100000 | t=0.00e+00 | T=7385.0 | a=1.000000 | H=2.41e-05 | 4.1 steps/s | 241.62 ms/step | ETA: 402.7 min
Step 50/100000 | t=5.00e-03 | T=7385.0 | a=1.000000 | H=2.41e-05 | 5.6 steps/s | 178.28 ms/step | ETA: 297.0 min
Step 100/100000 | t=1.00e-02 | T=7385.0 | a=1.000000 | H=2.41e-05 | 7.5 steps/s | 133.13 ms/step | ETA: 221.7 min
Step 150/100000 | t=1.50e-02 | T=7385.0 | a=1.000000 | H=2.41e-05 | 8.5 steps/s | 117.56 ms/step | ETA: 195.6 min
Step 200/100000 | t=2.00e-02 | T=7385.0 | a=1.000000 | H=2.41e-05 | 9.1 steps/s | 109.87 ms/step | ETA: 182.8 min
Step 250/100000 | t=2.50e-02 | T=7385.0 | a=1.000001 | H=2.41e-05 | 9.5 steps/s | 105.08 ms/step | ETA: 174.7 min
Step 300/100000 | t=3.00e-02 | T=7385.0 | a=1.000001 | H=2.41e-05 | 9.8 steps/s | 101.91 ms/step | ETA: 169.3 min
Step 350/100000 | t=3.50e-02 | T=7385.0 | a=1.000001 | H=2.41e-05 | 10.0 steps/s | 99.68 ms/step | ETA: 165.5 min
Step 400/100000 | t=4.00e-02 | T=7385.0 | a=1.000001 | H=2.41e-05 | 10.2 steps/s | 98.16 ms/step | ETA: 163.0 min
Step 450/100000 | t=4.50e-02 | T=7385.0 | a=1.000001 | H=2.41e-05 | 10.3 steps/s | 96.92 ms/step | ETA: 160.8 min
Step 500/100000 | t=5.00e-02 | T=7385.0 | a=1.000001 | H=2.41e-05 | 10.4 steps/s | 96.48 ms/step | ETA: 160.0 min
Step 550/100000 | t=5.50e-02 | T=7385.0 | a=1.000001 | H=2.41e-05 | 10.4 steps/s | 96.37 ms/step | ETA: 159.7 min
Step 600/100000 | t=6.00e-02 | T=7385.0 | a=1.000001 | H=2.41e-05 | 10.4 steps/s | 95.70 ms/step | ETA: 158.5 min
Step 650/100000 | t=6.50e-02 | T=7385.0 | a=1.000002 | H=2.41e-05 | 10.5 steps/s | 95.02 ms/step | ETA: 157.3 min
Step 700/100000 | t=7.00e-02 | T=7385.0 | a=1.000002 | H=2.41e-05 | 10.6 steps/s | 94.42 ms/step | ETA: 156.3 min
Step 750/100000 | t=7.50e-02 | T=7385.0 | a=1.000002 | H=2.41e-05 | 10.6 steps/s | 93.99 ms/step | ETA: 155.5 min
Step 800/100000 | t=8.00e-02 | T=7385.0 | a=1.000002 | H=2.41e-05 | 10.7 steps/s | 93.51 ms/step | ETA: 154.6 min
Step 850/100000 | t=8.50e-02 | T=7385.0 | a=1.000002 | H=2.41e-05 | 10.7 steps/s | 93.10 ms/step | ETA: 153.8 min
Step 900/100000 | t=9.00e-02 | T=7385.0 | a=1.000002 | H=2.41e-05 | 10.8 steps/s | 92.84 ms/step | ETA: 153.3 min
Step 950/100000 | t=9.50e-02 | T=7385.0 | a=1.000002 | H=2.41e-05 | 10.8 steps/s | 92.42 ms/step | ETA: 152.6 min
