======================================================================
LATTICE SIMULATION LOG
Started: 2026-03-02 10:23:30
Log file: logs/simulation_20260302_102330.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 2.50e-04, dt (rescaled) = 2.5000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 4.3301e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7405.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 5000 GeV  →  3H/η = 1.44e-08
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7405.0...
  V'(0) = 1.7462e-06
  V'(VEV) = 7.3073e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.7462e-06
  V'(1e0)   = 1.7462e+04
  V'(1e5)   = -9.9981e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.2355e+03 and 2.3518e+03
  Barrier top at: 2.2423e+03
  Escape point: 2.4665e+03
  V'(escape) = -9.4263e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7405_dx_0.001_dtphys_0.00025_interval_5000_3D_hubble_eta_5000_gb_1.09_gf_1.09_rk2_nonfused_inline/field_states
Figures will be saved to: data/set6/256x256x256_T0_7405_dx_0.001_dtphys_0.00025_interval_5000_3D_hubble_eta_5000_gb_1.09_gf_1.09_rk2_nonfused_inline/figs/latticeSnapshot

--resume specified but no checkpoints found. Starting from scratch.

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 1500000, dt: 2.50e-01
Integrator: rk2_nonfused_inline
Using Vprime lookup table: False (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 4.3026e+03)
Overdamped mode: DISABLED (η = 5000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 1.44e-08
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=50000.0, interval=20)
Step 0/1500000 | t=0.00e+00 | T=7405.0 | a=1.000000 | H=2.41e-05 | 5.9 steps/s | 169.09 ms/step | ETA: 4227.3 min
Step 5000/1500000 | t=1.25e+00 | T=7404.8 | a=1.000030 | H=2.41e-05 | 9.0 steps/s | 110.89 ms/step | ETA: 2763.1 min
Step 10000/1500000 | t=2.50e+00 | T=7404.6 | a=1.000060 | H=2.41e-05 | 9.0 steps/s | 110.85 ms/step | ETA: 2752.7 min

*** phi threshold exceeded: max|phi|=50807.8 > 50000.0
*** Switching to dense snapshots: every 20 steps

Step 12620/1500000 | t=3.15e+00 | T=7404.4 | a=1.000076 | H=2.41e-05 | 9.0 steps/s | 111.01 ms/step | ETA: 2751.8 min
Step 12640/1500000 | t=3.16e+00 | T=7404.4 | a=1.000076 | H=2.41e-05 | 9.0 steps/s | 111.17 ms/step | ETA: 2755.8 min
Step 12660/1500000 | t=3.17e+00 | T=7404.4 | a=1.000076 | H=2.41e-05 | 9.0 steps/s | 111.32 ms/step | ETA: 2759.6 min
Step 12680/1500000 | t=3.17e+00 | T=7404.4 | a=1.000076 | H=2.41e-05 | 9.0 steps/s | 111.48 ms/step | ETA: 2763.5 min
Step 12700/1500000 | t=3.17e+00 | T=7404.4 | a=1.000076 | H=2.41e-05 | 9.0 steps/s | 111.64 ms/step | ETA: 2767.5 min
Step 12720/1500000 | t=3.18e+00 | T=7404.4 | a=1.000077 | H=2.41e-05 | 8.9 steps/s | 111.81 ms/step | ETA: 2771.5 min
Step 12740/1500000 | t=3.19e+00 | T=7404.4 | a=1.000077 | H=2.41e-05 | 8.9 steps/s | 111.96 ms/step | ETA: 2775.2 min
Step 12760/1500000 | t=3.19e+00 | T=7404.4 | a=1.000077 | H=2.41e-05 | 8.9 steps/s | 112.13 ms/step | ETA: 2779.3 min
Step 12780/1500000 | t=3.19e+00 | T=7404.4 | a=1.000077 | H=2.41e-05 | 8.9 steps/s | 112.44 ms/step | ETA: 2787.1 min
Step 12800/1500000 | t=3.20e+00 | T=7404.4 | a=1.000077 | H=2.41e-05 | 8.9 steps/s | 112.60 ms/step | ETA: 2790.9 min
Step 12820/1500000 | t=3.21e+00 | T=7404.4 | a=1.000077 | H=2.41e-05 | 8.9 steps/s | 112.75 ms/step | ETA: 2794.7 min
Step 12840/1500000 | t=3.21e+00 | T=7404.4 | a=1.000077 | H=2.41e-05 | 8.9 steps/s | 112.90 ms/step | ETA: 2798.4 min
Step 12860/1500000 | t=3.21e+00 | T=7404.4 | a=1.000077 | H=2.41e-05 | 8.8 steps/s | 113.07 ms/step | ETA: 2802.4 min
Step 12880/1500000 | t=3.22e+00 | T=7404.4 | a=1.000077 | H=2.41e-05 | 8.8 steps/s | 113.22 ms/step | ETA: 2806.2 min
Step 12900/1500000 | t=3.23e+00 | T=7404.4 | a=1.000078 | H=2.41e-05 | 8.8 steps/s | 113.38 ms/step | ETA: 2810.2 min
