======================================================================
LATTICE SIMULATION LOG
Started: 2026-03-02 14:42:57
Log file: logs/simulation_20260302_144257.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 2.50e-04, dt (rescaled) = 2.5000e-01
  CFL limit: dt_CFL = 0.5774 (rescaled)
  dt/dt_CFL = 4.3301e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7405.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 1000 GeV  →  3H/η = 7.22e-08
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7405.0...
  V'(0) = 1.7462e-06
  V'(VEV) = 7.3073e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.7462e-06
  V'(1e0)   = 1.7462e+04
  V'(1e5)   = -9.9981e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.2355e+03 and 2.3518e+03
  Barrier top at: 2.2423e+03
  Escape point: 2.4665e+03
  V'(escape) = -9.4263e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7405_dx_0.001_dtphys_0.00025_interval_4000_3D_hubble_eta_1000_gb_1.09_gf_1.09_rk2_fused_inline/field_states
Figures will be saved to: data/set6/256x256x256_T0_7405_dx_0.001_dtphys_0.00025_interval_4000_3D_hubble_eta_1000_gb_1.09_gf_1.09_rk2_fused_inline/figs/latticeSnapshot

--resume specified but no checkpoints found. Starting from scratch.

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 1500000, dt: 2.50e-01
Integrator: rk2_fused_inline
Using Vprime lookup table: False (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 1.9242e+03)
Overdamped mode: DISABLED (η = 1000)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 7.22e-08
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=50000.0, interval=20)
Step 0/1500000 | t=0.00e+00 | T=7405.0 | a=1.000000 | H=2.41e-05 | 4.3 steps/s | 231.70 ms/step | ETA: 5792.4 min
Step 4000/1500000 | t=1.00e+00 | T=7404.8 | a=1.000024 | H=2.41e-05 | 5.8 steps/s | 173.04 ms/step | ETA: 4314.5 min
Step 8000/1500000 | t=2.00e+00 | T=7404.6 | a=1.000048 | H=2.41e-05 | 5.9 steps/s | 170.88 ms/step | ETA: 4249.1 min
Step 12000/1500000 | t=3.00e+00 | T=7404.5 | a=1.000072 | H=2.41e-05 | 5.9 steps/s | 168.77 ms/step | ETA: 4185.5 min
Step 16000/1500000 | t=4.00e+00 | T=7404.3 | a=1.000096 | H=2.41e-05 | 6.0 steps/s | 167.98 ms/step | ETA: 4154.7 min
Step 20000/1500000 | t=5.00e+00 | T=7404.1 | a=1.000120 | H=2.41e-05 | 6.0 steps/s | 167.46 ms/step | ETA: 4130.8 min
Step 24000/1500000 | t=6.00e+00 | T=7403.9 | a=1.000144 | H=2.41e-05 | 6.0 steps/s | 167.08 ms/step | ETA: 4110.3 min
Step 28000/1500000 | t=7.00e+00 | T=7403.8 | a=1.000168 | H=2.41e-05 | 6.0 steps/s | 166.80 ms/step | ETA: 4092.3 min
Step 32000/1500000 | t=8.00e+00 | T=7403.6 | a=1.000192 | H=2.41e-05 | 6.0 steps/s | 166.67 ms/step | ETA: 4077.8 min
Step 36000/1500000 | t=9.00e+00 | T=7403.4 | a=1.000217 | H=2.41e-05 | 6.0 steps/s | 166.58 ms/step | ETA: 4064.6 min
Step 40000/1500000 | t=1.00e+01 | T=7403.2 | a=1.000241 | H=2.41e-05 | 6.0 steps/s | 166.48 ms/step | ETA: 4050.9 min
Step 44000/1500000 | t=1.10e+01 | T=7403.0 | a=1.000265 | H=2.41e-05 | 6.0 steps/s | 166.44 ms/step | ETA: 4039.0 min
Step 48000/1500000 | t=1.20e+01 | T=7402.9 | a=1.000289 | H=2.41e-05 | 6.0 steps/s | 166.35 ms/step | ETA: 4025.7 min
Step 52000/1500000 | t=1.30e+01 | T=7402.7 | a=1.000313 | H=2.41e-05 | 6.0 steps/s | 166.30 ms/step | ETA: 4013.4 min
Step 56000/1500000 | t=1.40e+01 | T=7402.5 | a=1.000337 | H=2.41e-05 | 6.0 steps/s | 166.81 ms/step | ETA: 4014.6 min
Step 60000/1500000 | t=1.50e+01 | T=7402.3 | a=1.000361 | H=2.41e-05 | 6.0 steps/s | 166.79 ms/step | ETA: 4003.0 min
Step 64000/1500000 | t=1.60e+01 | T=7402.2 | a=1.000385 | H=2.41e-05 | 6.0 steps/s | 166.73 ms/step | ETA: 3990.3 min
Step 68000/1500000 | t=1.70e+01 | T=7402.0 | a=1.000409 | H=2.41e-05 | 6.0 steps/s | 166.64 ms/step | ETA: 3977.1 min
Step 72000/1500000 | t=1.80e+01 | T=7401.8 | a=1.000433 | H=2.41e-05 | 6.0 steps/s | 166.57 ms/step | ETA: 3964.4 min
