======================================================================
LATTICE SIMULATION LOG
Started: 2026-03-03 21:58:36
Log file: logs/simulation_20260303_215836.log
======================================================================

Numba Configuration:
  Version: 0.63.1
  Threading layer: default
  Configured threads: 11
  Active threads: 11
----------------------------------------------------------------------

Time step: dt_phys = 5.00e-04, dt (rescaled) = 5.0000e-01
  CFL limit: dt_CFL = 2.8868 (rescaled)
  dt/dt_CFL = 1.7321e-01 (SAFE)

Hubble expansion: ENABLED (comoving lattice)
  g_* = 106.75, M_Pl = 2.40e+18 GeV, ΔV = 1.00e+28 GeV^4
  H² = (T⁴/χ_g² + ΔV) / (3 M_Pl²)
  H(T0=7405.0) = 2.4056e-05 GeV
  3H = 7.2169e-05 GeV
  η_phys = 7405.0 GeV  →  3H/η = 9.75e-09
  T(t) = T0 / a(t)  (entropy conservation)
  Initial a = 1.0
Field precision: float32
Tree-level VEV: ±1.0000e+11
Couplings: boson=1.09, fermion=1.09

Finding thermal VEV at T = 7405.0...
  V'(0) = 1.7462e-06
  V'(VEV) = 7.3073e-31
  Thermal VEV found: 1.0000e+11
  Ratio thermal/tree: 1.0000

Finding escape point...
  V'(1e-10) = 1.7462e-06
  V'(1e0)   = 1.7462e+04
  V'(1e5)   = -9.9981e+10
  V'(1e8)   = -1.0000e+14
  V'(1e10)  = -9.9000e+15
  Barrier found between 2.2355e+03 and 2.3518e+03
  Barrier top at: 2.2423e+03
  Escape point: 2.4665e+03
  V'(escape) = -9.4263e+06 (should be < 0)

Using TREE-LEVEL VEV for seeding: 1.0000e+11
The bubble is seeded at the true vacuum (no rolling needed).
Bubble seeding: DISABLED (thermal nucleation only)
Field states will be saved to: data/set6/256x256x256_T0_7405_dx_0.005_dtphys_0.0005_interval_4000_3D_hubble_eta_7405_gb_1.09_gf_1.09_rk2_fused_inline/field_states
Figures will be saved to: data/set6/256x256x256_T0_7405_dx_0.005_dtphys_0.0005_interval_4000_3D_hubble_eta_7405_gb_1.09_gf_1.09_rk2_fused_inline/figs/latticeSnapshot

--resume specified but no checkpoints found. Starting from scratch.

============================================================
Starting time evolution...
Grid: 256×256×256, Steps: 1500000, dt: 5.00e-01
Integrator: rk2_fused_inline
Using Vprime lookup table: False (size=16384)
Using in-kernel RNG: True
Field precision: float32
Spline resolution N_Y: 256
Bubble seeding: DISABLED
Thermal noise: ENABLED (FDT noise_scale(T0) = 6.6232e+02)
Overdamped mode: DISABLED (η = 7405.0)
Hubble expansion: ENABLED
  H(T0) = 2.4056e-05 GeV, 3H/η = 9.75e-09
  g_* = 106.75, M_Pl = 2.40e+18 GeV
============================================================

Warming up JIT compilation...
JIT warmup complete.
Starting main loop...

Dense snapshots: enabled (threshold=50000.0, interval=5)
Step 0/1500000 | t=0.00e+00 | T=7405.0 | a=1.000000 | H=2.41e-05 | 4.4 steps/s | 224.76 ms/step | ETA: 5619.0 min

*** phi threshold exceeded: max|phi|=263782.3 > 50000.0
*** Switching to dense snapshots: every 5 steps

Step 5/1500000 | t=2.50e-03 | T=7405.0 | a=1.000000 | H=2.41e-05 | 1.2 steps/s | 844.96 ms/step | ETA: 21123.9 min
Step 10/1500000 | t=5.00e-03 | T=7405.0 | a=1.000000 | H=2.41e-05 | 1.4 steps/s | 711.71 ms/step | ETA: 17792.5 min
Step 15/1500000 | t=7.50e-03 | T=7405.0 | a=1.000000 | H=2.41e-05 | 1.5 steps/s | 666.15 ms/step | ETA: 16653.5 min
Step 20/1500000 | t=1.00e-02 | T=7405.0 | a=1.000000 | H=2.41e-05 | 1.6 steps/s | 611.54 ms/step | ETA: 15288.4 min
Step 25/1500000 | t=1.25e-02 | T=7405.0 | a=1.000000 | H=2.41e-05 | 1.9 steps/s | 540.50 ms/step | ETA: 13512.2 min
Step 30/1500000 | t=1.50e-02 | T=7405.0 | a=1.000000 | H=2.41e-05 | 2.1 steps/s | 487.80 ms/step | ETA: 12194.7 min
Step 35/1500000 | t=1.75e-02 | T=7405.0 | a=1.000000 | H=2.41e-05 | 2.2 steps/s | 449.93 ms/step | ETA: 11248.1 min
Step 40/1500000 | t=2.00e-02 | T=7405.0 | a=1.000000 | H=2.41e-05 | 2.4 steps/s | 421.48 ms/step | ETA: 10536.7 min
Step 45/1500000 | t=2.25e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 2.5 steps/s | 398.28 ms/step | ETA: 9956.8 min
Step 50/1500000 | t=2.50e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 2.6 steps/s | 379.33 ms/step | ETA: 9483.0 min
Step 55/1500000 | t=2.75e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 2.7 steps/s | 369.36 ms/step | ETA: 9233.7 min
Step 60/1500000 | t=3.00e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 2.8 steps/s | 356.24 ms/step | ETA: 8905.6 min
Step 65/1500000 | t=3.25e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 2.9 steps/s | 344.82 ms/step | ETA: 8620.1 min
Step 70/1500000 | t=3.50e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.0 steps/s | 336.05 ms/step | ETA: 8400.8 min
Step 75/1500000 | t=3.75e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.1 steps/s | 327.78 ms/step | ETA: 8194.2 min
Step 80/1500000 | t=4.00e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.1 steps/s | 320.24 ms/step | ETA: 8005.5 min
Step 85/1500000 | t=4.25e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.2 steps/s | 313.70 ms/step | ETA: 7842.0 min
Step 90/1500000 | t=4.50e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.2 steps/s | 307.82 ms/step | ETA: 7695.0 min
Step 95/1500000 | t=4.75e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.3 steps/s | 302.83 ms/step | ETA: 7570.3 min
Step 100/1500000 | t=5.00e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.4 steps/s | 298.16 ms/step | ETA: 7453.6 min
Step 105/1500000 | t=5.25e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.4 steps/s | 296.60 ms/step | ETA: 7414.6 min
Step 110/1500000 | t=5.50e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.4 steps/s | 292.83 ms/step | ETA: 7320.3 min
Step 115/1500000 | t=5.75e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.5 steps/s | 289.10 ms/step | ETA: 7226.9 min
Step 120/1500000 | t=6.00e-02 | T=7405.0 | a=1.000001 | H=2.41e-05 | 3.5 steps/s | 286.00 ms/step | ETA: 7149.4 min
Step 125/1500000 | t=6.25e-02 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.5 steps/s | 283.20 ms/step | ETA: 7079.4 min
Step 130/1500000 | t=6.50e-02 | T=7405.0 | a=1.000002 | H=2.41e-05 | 3.6 steps/s | 281.33 ms/step | ETA: 7032.6 min
